Ep: 126, Reward: -73.78277153558054, Avg: -57.377165249023186
Ep: 127, Reward: -74.02597402597404, Avg: -57.412506956496046
Ep: 128, Reward: -49.36708860759535, Avg: -57.65447716229989
Ep: 129, Reward: -30.06993006993081, Avg: -57.235878217385164
Ep: 130, Reward: -72.97297297297304, Avg: -57.32745005237805
Ep: 131, Reward: -71.01449275362336, Avg: -57.528823050089706
Ep: 132, Reward: -75.52447552447543, Avg: -57.72775381216039
Ep: 133, Reward: -82.70893371757879, Avg: -57.86444067255599
Ep: 134, Reward: -67.74193548387142, Avg: -58.269132754667424
Ep: 135, Reward: -24.731182795699187, Avg: -57.99415158899384
Ep: 136, Reward: -81.53846153846114, Avg: -58.42597456054283
Ep: 137, Reward: -66.32996632996677, Avg: -58.3481739002179
Ep: 138, Reward: -60.26490066225213, Avg: -58.501670364467536
Ep: 139, Reward: -59.83935742971942, Avg: -58.434791972237534
Ep: 140, Reward: -31.89964157706143, Avg: -58.02965045697367
Ep: 141, Reward: -76.02739726027369, Avg: -58.08404207663522
Ep: 142, Reward: -59.85401459854067, Avg: -58.39027453031294
Ep: 143, Reward: -37.931034482759394, Avg: -57.972974705649
Ep: 144, Reward: -72.89156626505996, Avg: -58.057762254420595
Ep: 145, Reward: -82.1428571428567, Avg: -58.062117655117454
Ep: 146, Reward: -31.74061433447103, Avg: -58.008454616072214
Ep: 147, Reward: -69.58174904942989, Avg: -58.25034719189074
Ep: 148, Reward: -45.054945054945534, Avg: -57.86645955634749
Ep: 149, Reward: -43.8943894389447, Avg: -57.62036408065819
Ep: 150, Reward: -74.16974169741697, Avg: -57.62923707015145
Ep: 151, Reward: -28.14371257485032, Avg: -57.653917439143186
Ep: 152, Reward: -31.818181818181923, Avg: -57.16257544780121
Ep: 153, Reward: -45.45454545454611, Avg: -56.7860398212656
Ep: 154, Reward: -37.29372937293776, Avg: -56.36587366671911
Ep: 155, Reward: -66.91176470588276, Avg: -56.21517149395812
Ep: 156, Reward: -79.16666666666642, Avg: -57.05413545792207
Ep: 157, Reward: -73.28244274809168, Avg: -57.32847613089036
Ep: 158, Reward: -39.79933110367911, Avg: -56.98962733666398
Ep: 159, Reward: -77.77777777777757, Avg: -57.22354546531895
Ep: 160, Reward: -68.08510638297865, Avg: -57.03953166428388
Ep: 161, Reward: -57.74647887323996, Avg: -57.064757647046115
Ep: 162, Reward: -73.38403041825099, Avg: -57.46761203573566
Ep: 163, Reward: -33.085501858736436, Avg: -57.19190967727384
Ep: 164, Reward: -44.85294117647116, Avg: -57.140439089038544
Ep: 165, Reward: -82.51748251748205, Avg: -57.17109336626817
Ep: 166, Reward: -70.26022304832739, Avg: -57.542591917821674
Ep: 167, Reward: -77.18631178707207, Avg: -57.565351093040064
Ep: 168, Reward: -72.50859106529217, Avg: -58.10676353430523
Ep: 169, Reward: -69.11196911196944, Avg: -58.0069424588744
Ep: 170, Reward: -76.82119205297998, Avg: -58.276826620206876
Ep: 171, Reward: -71.11913357400736, Avg: -58.17094478521526
Ep: 172, Reward: -50.000000000000774, Avg: -58.03195561554016
Ep: 173, Reward: -60.85409252669095, Avg: -58.271127171437705
Ep: 174, Reward: -52.5547445255478, Avg: -58.350307834686255
Ep: 175, Reward: -71.65991902834023, Avg: -58.47507029027578
Ep: 176, Reward: -51.92307692307742, Avg: -58.515134392839876
Ep: 177, Reward: -74.35897435897436, Avg: -58.86249772133529
Ep: 178, Reward: -72.72727272727283, Avg: -58.98064992743537
Ep: 179, Reward: -44.26229508196786, Avg: -58.79615423418724
Ep: 180, Reward: -36.80297397769552, Avg: -58.40514782938589
Ep: 181, Reward: -58.64661654135412, Avg: -58.39161399479942
Ep: 182, Reward: -65.63573883161561, Avg: -58.47350329800919
Ep: 183, Reward: -85.07462686567105, Avg: -58.874077745360054
Ep: 184, Reward: -59.322033898305634, Avg: -58.71909664549419
Ep: 185, Reward: -44.05594405594465, Avg: -58.485743042575365
Ep: 186, Reward: -77.94117647058808, Avg: -58.95356060438271
Ep: 187, Reward: -59.25925925925972, Avg: -58.78105252583437
Ep: 188, Reward: -74.52229299363056, Avg: -59.05700171275391
Ep: 189, Reward: -73.38403041825103, Avg: -59.30179092204591
Ep: 190, Reward: -61.41479099678514, Avg: -59.13132344739838
Ep: 191, Reward: -56.953642384106914, Avg: -58.91514558552516
Ep: 192, Reward: -39.393939393939505, Avg: -58.65129030265846
Ep: 193, Reward: -28.082191780822455, Avg: -58.40508519343965
Ep: 194, Reward: -11.262798634812125, Avg: -57.963809834062864
Ep: 195, Reward: -23.333333333333435, Avg: -57.37196834222137
