Ep: 96, Reward: -83.16498316498267, Avg: -58.03863662134556
Ep: 97, Reward: -77.9874213836476, Avg: -58.24219564953231
Ep: 98, Reward: -70.37037037037065, Avg: -58.364702464894314
Ep: 99, Reward: -4.7619047619045975, Avg: -57.82867448786442
Ep: 100, Reward: -63.96396396396487, Avg: -57.9568198746305
Ep: 101, Reward: -68.62745098039223, Avg: -57.88200223426377
Ep: 102, Reward: -52.94117647058901, Avg: -57.9977332172107
Ep: 103, Reward: -76.0273972602739, Avg: -58.32686946526253
Ep: 104, Reward: -74.99999999999997, Avg: -58.663188683503584
Ep: 105, Reward: -39.18918918918954, Avg: -58.322639103823555
Ep: 106, Reward: -34.25605536332239, Avg: -57.963212902489886
Ep: 107, Reward: -37.26937269372708, Avg: -57.517724811245344
Ep: 108, Reward: -40.97222222222265, Avg: -57.43249753851807
Ep: 109, Reward: -26.1992619926201, Avg: -57.17230585810298
Ep: 110, Reward: -80.98859315589316, Avg: -57.84493688770113
Ep: 111, Reward: -72.88135593220349, Avg: -57.84772304976289
Ep: 112, Reward: -78.3950617283949, Avg: -58.238702421040436
Ep: 113, Reward: -45.652173913043896, Avg: -57.85496856911657
Ep: 114, Reward: -48.63013698630207, Avg: -57.6927076386601
Ep: 115, Reward: -71.77419354838722, Avg: -57.963809257938436
Ep: 116, Reward: -72.39263803681017, Avg: -57.93334967339426
Ep: 117, Reward: -52.861952861953206, Avg: -57.71107952229849
Ep: 118, Reward: -61.267605633803676, Avg: -58.01718623557083
Ep: 119, Reward: -70.8454810495629, Avg: -57.995911316336745
Ep: 120, Reward: -24.460431654676928, Avg: -57.50170966273425
Ep: 121, Reward: -60.14492753623247, Avg: -57.898613483551124
Ep: 122, Reward: 5.802047781570103, Avg: -57.376870608259075
Ep: 123, Reward: -35.74297188755027, Avg: -57.10353109636533
Ep: 124, Reward: -14.814814814814849, Avg: -56.71104320211066
Ep: 125, Reward: -76.56249999999989, Avg: -57.038071710882576
