REG_LAMBDA = 1e-6             # Penalty multiplier to apply for the size of the network weights
LEARN_RATE = 0.0001           # Sets how much we want to update the network weights at each training step
TARGET_UPDATE_RATE = 0.0004   # How frequently we want to copy the local network to the target network (for double DQNs)
MAX_BUFFER_SIZE = 100000      # Sets the maximum length of the replay buffer
REPLAY_BATCH_SIZE = 32        # How many experience tuples to sample from the buffer for each train step
DISCOUNT_RATE = 0.97          # The constant gamma for discounting future rewards in the Bellman Equation
EPS_MAX = 1.0                 # The starting proportion of random to greedy actions to take
EPS_MIN = 0.1                 # The lower limit proportion of random to greedy actions to take
EPS_DECAY = 0.998             # The rate at which eps decays from EPS_MAX to EPS_MIN

Ep: 86, Reward: -32.659932659932714, Avg: -51.31842114067588
Ep: 87, Reward: 37.93103448275823, Avg: -50.304222781318664
Ep: 88, Reward: -50.000000000000384, Avg: -50.300804547820704
Ep: 89, Reward: -19.46308724832191, Avg: -49.958163244492944
Ep: 90, Reward: -15.85760517799406, Avg: -49.583431837168774
Ep: 91, Reward: -73.50993377483445, Avg: -49.84350251040427
Ep: 92, Reward: -42.17687074829954, Avg: -49.76106560973648
Ep: 93, Reward: -25.925925925926006, Avg: -49.50750029395126
Ep: 94, Reward: -57.792207792208295, Avg: -49.594707741301335
Ep: 95, Reward: -44.9838187702269, Avg: -49.54667764785265
Ep: 96, Reward: -72.69624573378809, Avg: -49.78533298894476
Ep: 97, Reward: -55.32646048110011, Avg: -49.84187510621165
Ep: 98, Reward: -52.218430034130144, Avg: -49.865880711544165
Ep: 99, Reward: -65.03496503496554, Avg: -50.01757155477838
Ep: 100, Reward: -50.53003533568953, Avg: -50.03670590023014
Ep: 101, Reward: -33.797909407665536, Avg: -49.747566350239
Ep: 102, Reward: -27.868852459016423, Avg: -49.228957577531865
Ep: 103, Reward: -44.444444444444635, Avg: -48.85745110173091
Ep: 104, Reward: -65.1162790697681, Avg: -48.7147994594389
Ep: 105, Reward: -24.836601307189518, Avg: -48.38800207381798
Ep: 106, Reward: -13.978494623656056, Avg: -47.96574322443409
Ep: 107, Reward: -53.84615384615432, Avg: -47.90961016830104
Ep: 108, Reward: -54.54545454545507, Avg: -47.76223194925047
Ep: 109, Reward: -78.59327217125357, Avg: -47.90027734701934
Ep: 110, Reward: -71.53024911032041, Avg: -48.29125551379821
Ep: 111, Reward: -47.712418300653894, Avg: -48.33694156971443
Ep: 112, Reward: -27.215189873417774, Avg: -48.263299075925254
Ep: 113, Reward: -70.96774193548404, Avg: -48.44755276646652
Ep: 114, Reward: -35.275080906149185, Avg: -48.561892979501515
Ep: 115, Reward: -5.660377358490364, Avg: -47.97060942914276
Ep: 116, Reward: -19.191919191919126, Avg: -47.81826632597998
Ep: 117, Reward: -54.70383275261366, Avg: -47.75106133006397
Ep: 118, Reward: -78.7234042553189, Avg: -48.050240765108626
Ep: 119, Reward: -32.384341637010664, Avg: -47.75624978657428
Ep: 120, Reward: -49.82078853046652, Avg: -47.620758038179304
Ep: 121, Reward: -31.74061433447099, Avg: -47.369536730543615
Ep: 122, Reward: -44.636678200692295, Avg: -47.47107592634364
Ep: 123, Reward: -68.15286624203856, Avg: -47.59328255486571
Ep: 124, Reward: -42.96577946768089, Avg: -47.47406816909138
Ep: 125, Reward: -44.26229508196745, Avg: -47.49595941259399
Ep: 126, Reward: -1.1406844106466811, Avg: -46.74958078957242
Ep: 127, Reward: -59.40959409594141, Avg: -46.793503720151215
Ep: 128, Reward: -57.9288025889975, Avg: -46.59643391856515
Ep: 129, Reward: -38.51132686084155, Avg: -46.602462219853294
Ep: 130, Reward: -54.248366013072555, Avg: -46.61223559961019
Ep: 131, Reward: -46.04316546762615, Avg: -46.73468816020978
Ep: 132, Reward: -31.899641577060905, Avg: -46.8767298434701
Ep: 133, Reward: 24.57912457912354, Avg: -46.32538304212331
Ep: 134, Reward: -27.152317880794655, Avg: -46.253276877301914
Ep: 135, Reward: -26.739926739926986, Avg: -45.76289067757316
