LR: 0.0001, buffer: 100000, upd: 0.0004
Batch: 100, Disc: 0.97, eps decay: 0.998, stack: 2
Ep: 0, Reward: -46.61921708185117, Avg: -46.61921708185117
Ep: 1, Reward: -17.525773195877033, Avg: -32.0724951388641
Ep: 2, Reward: -21.933085501858653, Avg: -28.69269192652895
Ep: 3, Reward: -81.65137614678858, Avg: -41.932362981593855
Ep: 4, Reward: -76.97368421052616, Avg: -48.94062722738032
Ep: 5, Reward: -53.2374100719431, Avg: -49.65675770147411
Ep: 6, Reward: -22.79411764705889, Avg: -45.819237693700515
Ep: 7, Reward: -60.57347670250944, Avg: -47.66351756980163
Ep: 8, Reward: -56.83453237410117, Avg: -48.6825192147238
Ep: 9, Reward: -70.00000000000034, Avg: -50.814267293251454
Ep: 10, Reward: -57.23684210526361, Avg: -51.3981377307071
Ep: 11, Reward: -46.23655913978525, Avg: -50.968006181463615
Ep: 12, Reward: -59.42028985507303, Avg: -51.61818184866434
Ep: 13, Reward: -11.864406779660772, Avg: -48.77862648659266
Ep: 14, Reward: -68.87159533073961, Avg: -50.11815774286912
Ep: 15, Reward: -38.84892086330953, Avg: -49.41383043789665
Ep: 16, Reward: -64.53900709219911, Avg: -50.30354671167915
Ep: 17, Reward: -68.75000000000034, Avg: -51.328349672141435
Ep: 18, Reward: -103.45897435897437, Avg: -54.07206676092211
Ep: 19, Reward: -35.849056603773825, Avg: -53.16091625306469
Ep: 20, Reward: -71.01449275362336, Avg: -54.01108656261511
Ep: 21, Reward: -80.19801980197987, Avg: -55.20140170985896
Ep: 22, Reward: -55.55555555555627, Avg: -55.21679970315015
Ep: 23, Reward: -82.45614035087674, Avg: -56.35177223013875
Ep: 24, Reward: -57.446808510639, Avg: -56.395573681358755
Ep: 25, Reward: -67.63754045307483, Avg: -56.82795701873245
Ep: 26, Reward: -54.69255663430504, Avg: -56.748868115605504
Ep: 27, Reward: -78.05642633228823, Avg: -57.50985233762989
Ep: 28, Reward: -40.43887147335449, Avg: -56.921197825068674
Ep: 29, Reward: -69.34865900383166, Avg: -57.335446531027436
Ep: 30, Reward: -68.30985915492991, Avg: -57.6894598414759
Ep: 31, Reward: -42.17687074829954, Avg: -57.20469143231415
Ep: 32, Reward: -41.71779141104346, Avg: -56.73539143166958
Ep: 33, Reward: -69.0721649484539, Avg: -57.098237711575
Ep: 34, Reward: -80.45602605863161, Avg: -57.76560309291948
Ep: 35, Reward: -6.4516129032256675, Avg: -56.340214476539096
Ep: 36, Reward: -78.49462365591374, Avg: -56.93898229219786
Ep: 37, Reward: -32.09876543209943, Avg: -56.285292374826845
Ep: 38, Reward: -45.01718213058458, Avg: -55.996366471128326
Ep: 39, Reward: -123.2400651465798, Avg: -57.677458938014624
Ep: 40, Reward: -75.26501766784449, Avg: -58.10642378508365
Ep: 41, Reward: -77.09923664122124, Avg: -58.55863361499168
Ep: 42, Reward: -81.59509202453947, Avg: -59.094365205911394
Ep: 43, Reward: -50.000000000000306, Avg: -58.88767508759524
Ep: 44, Reward: -57.65472312703643, Avg: -58.86027615513838
Ep: 45, Reward: -19.61414790996781, Avg: -58.00709945415641
Ep: 46, Reward: 7.594936708859956, Avg: -56.61131145068797
Ep: 47, Reward: -67.39130434782646, Avg: -56.83589463604503
Ep: 48, Reward: -48.80546075085365, Avg: -56.672008230224804
Ep: 49, Reward: -69.92481203007544, Avg: -56.93706430622182
Ep: 50, Reward: -62.068965517242084, Avg: -57.03768982016339
Ep: 51, Reward: -50.57034220532382, Avg: -56.91331775064725
Ep: 52, Reward: -71.22302158273399, Avg: -57.183312162573415
Ep: 53, Reward: -75.86206896551714, Avg: -57.52921506633164
Ep: 54, Reward: -49.41634241245167, Avg: -57.38170829080654
Ep: 55, Reward: -24.698795180723504, Avg: -56.798084842412194
Ep: 56, Reward: -65.94427244582096, Avg: -56.958544274050944
Ep: 57, Reward: -83.81877022653669, Avg: -57.421651618059315
Ep: 58, Reward: -65.63573883161574, Avg: -57.560873435238236
Ep: 59, Reward: -45.848375451263806, Avg: -57.36566513550533
Ep: 60, Reward: -26.07003891050587, Avg: -56.852622082636486
Ep: 61, Reward: -73.68421052631594, Avg: -57.12409931559906
Ep: 62, Reward: -43.462897526502, Avg: -56.907254842756245
Ep: 63, Reward: -51.127819548872935, Avg: -56.81695116628932
Ep: 64, Reward: -31.271477663230282, Avg: -56.423943881626876
Ep: 65, Reward: -22.80701754385949, Avg: -55.91459651287282
Ep: 66, Reward: -73.42192691029904, Avg: -56.175899951640375
Ep: 67, Reward: -69.07216494845387, Avg: -56.36555090747587
Ep: 68, Reward: -52.727272727273096, Avg: -56.31282223819757
Ep: 69, Reward: -52.86195286195329, Avg: -56.26352410425122
Ep: 70, Reward: -62.96296296296352, Avg: -56.3578823980359
Ep: 71, Reward: -36.66666666666694, Avg: -56.084393290655775
Ep: 72, Reward: -58.18815331010531, Avg: -56.11321192105919
Ep: 73, Reward: -50.65789473684244, Avg: -56.039491418569774
Ep: 74, Reward: -69.79865771812106, Avg: -56.222946969230456
Ep: 75, Reward: -47.01986754966942, Avg: -56.101853818973076
Ep: 76, Reward: -33.333333333333755, Avg: -55.80615874773101
Ep: 77, Reward: -53.405017921147376, Avg: -55.77537489097993
Ep: 78, Reward: -66.21621621621662, Avg: -55.907537439400656
Ep: 79, Reward: -76.58862876254167, Avg: -56.166051080939916
