LR: 0.0001, buffer: 10000, upd: 0.0004
Batch: 32, Disc: 0.97, eps decay: 0.998, stack: 2
Ep: 0, Reward: -74.43181818181831, Avg: -74.43181818181831
Ep: 1, Reward: -77.56410256410241, Avg: -75.99796037296036
Ep: 2, Reward: -54.39739413680818, Avg: -68.7977716275763
Ep: 3, Reward: -35.1145038167944, Avg: -60.37695467488082
Ep: 4, Reward: -83.55263157894686, Avg: -65.01209005569403
Ep: 5, Reward: -78.7234042553189, Avg: -67.29730908896484
Ep: 6, Reward: -27.480916030534484, Avg: -61.60925293776051
Ep: 7, Reward: -23.357664233576912, Avg: -56.82780434973756
Ep: 8, Reward: -37.93103448275918, Avg: -54.72816325340663
Ep: 9, Reward: -55.93220338983103, Avg: -54.84856726704906
Ep: 10, Reward: -19.230769230769088, Avg: -51.610585627387245
Ep: 11, Reward: -67.74193548387133, Avg: -52.954864782094255
Ep: 12, Reward: -56.666666666667155, Avg: -53.24038800398448
Ep: 13, Reward: -40.76655052264831, Avg: -52.349399612460466
Ep: 14, Reward: -68.65203761755515, Avg: -53.436242146133445
Ep: 15, Reward: -25.000000000000195, Avg: -51.65897701200012
Ep: 16, Reward: -61.876832844575425, Avg: -52.26002735509279
Ep: 17, Reward: -70.3703703703706, Avg: -53.26615752260822
Ep: 18, Reward: -65.39792387543302, Avg: -53.90467154117795
Ep: 19, Reward: -58.7628865979386, Avg: -54.147582294015976
Ep: 20, Reward: -82.90598290598243, Avg: -55.51702994220486
Ep: 21, Reward: -49.25373134328437, Avg: -55.23233455134484
Ep: 22, Reward: -67.62589928057591, Avg: -55.77118519174619
Ep: 23, Reward: -60.26490066225215, Avg: -55.9584233363506
Ep: 24, Reward: -33.593750000000725, Avg: -55.063836402896605
Ep: 25, Reward: -47.040498442368445, Avg: -54.755246481337835
Ep: 26, Reward: -81.42414860681075, Avg: -55.74298359709609
Ep: 27, Reward: -69.17808219178113, Avg: -56.22280854690627
Ep: 28, Reward: -57.44680851063876, Avg: -56.26501544220739
Ep: 29, Reward: -4.436860068259261, Avg: -54.537410263075785
Ep: 30, Reward: -58.06451612903278, Avg: -54.65118787165505
Ep: 31, Reward: -28.571428571428967, Avg: -53.83619539352297
Ep: 32, Reward: -61.672473867596395, Avg: -54.0736583775858
Ep: 33, Reward: -78.64768683273996, Avg: -54.796423920384456
Ep: 34, Reward: -48.97959183673503, Avg: -54.63022871799447
Ep: 35, Reward: -85.46511627906915, Avg: -55.48675337246877
Ep: 36, Reward: -59.67741935483946, Avg: -55.600014615235544
Ep: 37, Reward: -74.44089456868971, Avg: -56.095827245589604
Ep: 38, Reward: -36.87707641196074, Avg: -55.60303876267604
Ep: 39, Reward: -43.521594684385725, Avg: -55.301002660718794
Ep: 40, Reward: -68.53146853146887, Avg: -55.62369695024928
Ep: 41, Reward: -71.01449275362337, Avg: -55.990144469377235
Ep: 42, Reward: -31.81818181818245, Avg: -55.428005803070384
Ep: 43, Reward: -68.53146853146826, Avg: -55.72581177417033
Ep: 44, Reward: 13.970588235293919, Avg: -54.177002885071126
Ep: 45, Reward: -83.44370860927101, Avg: -54.81323561820591
Ep: 46, Reward: -50.76923076923143, Avg: -54.72719296184475
Ep: 47, Reward: -42.857142857143124, Avg: -54.47990025133013
Ep: 48, Reward: -72.64437689969611, Avg: -54.85060385639882
Ep: 49, Reward: -68.53146853146882, Avg: -55.12422114990022
Ep: 50, Reward: -71.42857142857167, Avg: -55.44391429261927
Ep: 51, Reward: -81.76291793313032, Avg: -55.95004897801371
Ep: 52, Reward: -38.46153846153864, Avg: -55.620077081476445
Ep: 53, Reward: -42.5287356321843, Avg: -55.37764483241548
Ep: 54, Reward: -66.5551839464887, Avg: -55.58087281630772
Ep: 55, Reward: -46.37223974763478, Avg: -55.416432940081414
Ep: 56, Reward: -50.17793594306126, Avg: -55.324529483993345
Ep: 57, Reward: -15.492957746478648, Avg: -54.63777824713964
Ep: 58, Reward: -48.22006472491972, Avg: -54.529003441678285
Ep: 59, Reward: -43.708609271523585, Avg: -54.348663538842374
Ep: 60, Reward: -62.45733788395957, Avg: -54.48159262646725
Ep: 61, Reward: -53.02013422818832, Avg: -54.458020716817586
Ep: 62, Reward: -63.50364963503725, Avg: -54.6016021282179
