LR: 0.00025, buffer: 10000, upd: 0.0004
Batch: 32, Disc: 0.99, eps decay: 0.999, stack: 2
Ep: 0, Reward: -42.4920127795533, Avg: -42.4920127795533
Ep: 1, Reward: -70.14925373134348, Avg: -56.320633255448385
Ep: 2, Reward: -56.0439560439566, Avg: -56.228407518284456
Ep: 3, Reward: -75.13812154696129, Avg: -60.955836025453664
Ep: 4, Reward: -50.46439628483002, Avg: -58.85754807732893
Ep: 5, Reward: -83.60655737704866, Avg: -62.98238296061555
Ep: 6, Reward: -61.661341853035715, Avg: -62.79366280238986
Ep: 7, Reward: -65.0349650349657, Avg: -63.07382558146185
Ep: 8, Reward: -79.7979797979795, Avg: -64.93206493885269
Ep: 9, Reward: -16.349809885931748, Avg: -60.0738394335606
Ep: 10, Reward: 11.913357400721177, Avg: -53.529548812262256
Ep: 11, Reward: -77.84810126582259, Avg: -55.55609485005895
Ep: 12, Reward: -45.39249146757747, Avg: -54.77427920525268
Ep: 13, Reward: -65.2777777777783, Avg: -55.52452910329022
Ep: 14, Reward: -80.95238095238058, Avg: -57.219719226562916
Ep: 15, Reward: 6.761565836299056, Avg: -53.220888910134036
Ep: 16, Reward: -27.27272727272803, Avg: -51.69452646087486
Ep: 17, Reward: -62.96296296296367, Avg: -52.3205507109909
Ep: 18, Reward: -26.31578947368497, Avg: -50.95187906692217
Ep: 19, Reward: -50.81967213114791, Avg: -50.945268720133456
Ep: 20, Reward: -55.35714285714348, Avg: -51.15535796475299
Ep: 21, Reward: -68.42105263157937, Avg: -51.940162267790555
Ep: 22, Reward: -72.41379310344841, Avg: -52.83032013021046
Ep: 23, Reward: -74.16974169741697, Avg: -53.71946269551072
Ep: 24, Reward: -59.04436860068355, Avg: -53.93245893171764
Ep: 25, Reward: -25.925925925925913, Avg: -52.85528458534103
Ep: 26, Reward: -69.69696969696997, Avg: -53.47905070058655
Ep: 27, Reward: -41.81818181818205, Avg: -53.062591097643526
Ep: 28, Reward: -64.96815286624256, Avg: -53.473127710353836
Ep: 29, Reward: -64.70588235294167, Avg: -53.84755286510676
Ep: 30, Reward: -34.027777777778184, Avg: -53.20820528164455
Ep: 31, Reward: -66.21621621621689, Avg: -53.61470562334994
Ep: 32, Reward: -53.795379537954624, Avg: -53.62018059045918
Ep: 33, Reward: -83.71335504885941, Avg: -54.50527395688272
Ep: 34, Reward: -43.82022471910165, Avg: -54.19998683580325
Ep: 35, Reward: -44.250871080139596, Avg: -53.923622509257044
Ep: 36, Reward: -32.203389830508584, Avg: -53.33658919361519
Ep: 37, Reward: -70.69597069597089, Avg: -53.79341502262455
Ep: 38, Reward: -71.92982456140369, Avg: -54.25845116464453
Ep: 39, Reward: -39.5161290322582, Avg: -53.88989311133487
Ep: 40, Reward: -81.76291793313028, Avg: -54.569722985037195
Ep: 41, Reward: -53.12500000000053, Avg: -54.53532481872679
Ep: 42, Reward: -45.312500000000355, Avg: -54.32084052061688
Ep: 43, Reward: -11.97183098591527, Avg: -53.35836303119185
Ep: 44, Reward: -70.80291970802936, Avg: -53.746019846232684
Ep: 45, Reward: -24.05063291139289, Avg: -53.10046795634486
Ep: 46, Reward: -35.15358361774754, Avg: -52.71861935339599
Ep: 47, Reward: -69.8996655518398, Avg: -53.076557815863566
Ep: 48, Reward: -70.49180327868878, Avg: -53.43197098857428
Ep: 49, Reward: -61.08949416342464, Avg: -53.58512145207129
Ep: 50, Reward: -68.85813148788962, Avg: -53.88459223708734
Ep: 51, Reward: -69.89966555183976, Avg: -54.1925744162172
Ep: 52, Reward: -74.1935483870968, Avg: -54.569951283592275
Ep: 53, Reward: -35.81081081081091, Avg: -54.222559793355586
Ep: 54, Reward: -65.75342465753475, Avg: -54.432211881795205
Ep: 55, Reward: -38.77551020408236, Avg: -54.15262792326462
Ep: 56, Reward: -58.33333333333377, Avg: -54.225973632213204
Ep: 57, Reward: -70.77922077922098, Avg: -54.51137444509264
Ep: 58, Reward: -19.298245614035245, Avg: -53.91454175304082
Ep: 59, Reward: -75.07788161993764, Avg: -54.26726408415577
Ep: 60, Reward: -77.61194029850726, Avg: -54.64996369422711
Ep: 61, Reward: -40.39735099337783, Avg: -54.42008284421341
Ep: 62, Reward: -57.74647887323992, Avg: -54.47288278118209
Ep: 63, Reward: -41.176470588235574, Avg: -54.265126340667294
Ep: 64, Reward: -46.372239747634396, Avg: -54.1436973161591
Ep: 65, Reward: -71.22302158273396, Avg: -54.40247495656175
Ep: 66, Reward: 5.633802816901637, Avg: -53.50641110919662
Ep: 67, Reward: -60.992907801418944, Avg: -53.616506648788125
Ep: 68, Reward: -71.69811320754734, Avg: -53.878558917755655
Ep: 69, Reward: -74.54545454545452, Avg: -54.17380028386564
Ep: 70, Reward: -26.056338028168973, Avg: -53.77777968871498
Ep: 71, Reward: -49.20634920634967, Avg: -53.71428759868213
Ep: 72, Reward: -42.652329749104126, Avg: -53.562753929509825
Ep: 73, Reward: -83.27759197324366, Avg: -53.96430579496568
Ep: 74, Reward: -84.61538461538404, Avg: -54.37298684590459
Ep: 75, Reward: -81.24999999999946, Avg: -54.726631755826894
Ep: 76, Reward: -78.78787878787854, Avg: -55.03911548351588
