Ep: 118, Reward: -72.5086, Avg: -62.3997
Ep: 119, Reward: -48.3871, Avg: -62.4539
Ep: 120, Reward: -33.9934, Avg: -62.0544
Ep: 121, Reward: -79.4521, Avg: -62.2166
Ep: 122, Reward: -70.5015, Avg: -62.1590
Ep: 123, Reward: -58.3333, Avg: -61.9845
Ep: 124, Reward: -56.6667, Avg: -62.2155
Ep: 125, Reward: -57.2954, Avg: -62.3400
Ep: 126, Reward: -71.5190, Avg: -62.7482
Ep: 127, Reward: -64.2857, Avg: -62.8673
Ep: 128, Reward: -55.2716, Avg: -62.8661
Ep: 129, Reward: -82.7586, Avg: -62.8571
Ep: 130, Reward: -71.4286, Avg: -62.8617
Ep: 131, Reward: -60.1449, Avg: -62.6913
Ep: 132, Reward: -66.9118, Avg: -63.0414
Ep: 133, Reward: -75.7085, Avg: -62.9697
Ep: 134, Reward: -49.8208, Avg: -63.0094
Ep: 135, Reward: -80.4560, Avg: -63.2667
Ep: 136, Reward: -68.0511, Avg: -63.2430
Ep: 137, Reward: -56.2290, Avg: -63.0181
Ep: 138, Reward: -49.1525, Avg: -63.0251
Ep: 139, Reward: -12.8788, Avg: -62.3934
Ep: 140, Reward: -29.0780, Avg: -62.4311
Ep: 141, Reward: -82.0896, Avg: -62.4632
Ep: 142, Reward: -53.8462, Avg: -62.5772
Ep: 143, Reward: -71.3115, Avg: -62.4715
Ep: 144, Reward: -71.4286, Avg: -62.7660
Ep: 145, Reward: -70.3264, Avg: -63.2708
Ep: 146, Reward: -67.0330, Avg: -63.2128
Ep: 147, Reward: -75.3521, Avg: -63.5634
Ep: 148, Reward: -82.0789, Avg: -63.7570
Ep: 149, Reward: -14.6758, Avg: -63.4677
Ep: 150, Reward: -73.0640, Avg: -63.7825
Ep: 151, Reward: -57.4468, Avg: -63.8655
Ep: 152, Reward: -43.7751, Avg: -64.2183
Ep: 153, Reward: -79.1667, Avg: -64.1783
Ep: 154, Reward: -45.6522, Avg: -63.9907
Ep: 155, Reward: -35.9431, Avg: -63.6791
Ep: 156, Reward: -78.8732, Avg: -64.2370
Ep: 157, Reward: -67.3913, Avg: -64.1062
Ep: 158, Reward: -86.7550, Avg: -64.3352
Ep: 159, Reward: -83.2776, Avg: -64.4568
Ep: 160, Reward: -82.6389, Avg: -64.5112
Ep: 161, Reward: -67.8457, Avg: -64.4848
Ep: 162, Reward: -58.0645, Avg: -64.6328
Ep: 163, Reward: -77.3463, Avg: -64.8397
Ep: 164, Reward: -57.7465, Avg: -64.6338
Ep: 165, Reward: -58.4906, Avg: -64.5613
Ep: 166, Reward: -67.5516, Avg: -64.7192
Ep: 167, Reward: -65.9443, Avg: -64.6143
Ep: 168, Reward: -57.7039, Avg: -64.4255
Ep: 169, Reward: -64.5161, Avg: -64.2962
Ep: 170, Reward: -62.7119, Avg: -64.6400
Ep: 171, Reward: -83.0508, Avg: -64.8946
Ep: 172, Reward: -81.0726, Avg: -64.9708
Ep: 173, Reward: -24.3986, Avg: -64.5928
Ep: 174, Reward: -46.4883, Avg: -64.3248
Ep: 175, Reward: -46.4286, Avg: -64.1066
Ep: 176, Reward: -60.1227, Avg: -64.1259
Ep: 177, Reward: -49.2754, Avg: -63.8740
Ep: 178, Reward: -51.6729, Avg: -63.7309
Ep: 179, Reward: -55.2239, Avg: -63.6414
Ep: 180, Reward: -48.3283, Avg: -63.3281
Ep: 181, Reward: -31.2715, Avg: -62.7975
Ep: 182, Reward: -32.2709, Avg: -61.5913
Ep: 183, Reward: -9.7744, Avg: -60.9352
Ep: 184, Reward: -41.5584, Avg: -60.6996
Ep: 185, Reward: -77.9180, Avg: -60.6406
Ep: 186, Reward: -11.1111, Avg: -60.1054
Ep: 187, Reward: -44.4444, Avg: -60.0922
Ep: 188, Reward: -36.3636, Avg: -60.1094
Ep: 189, Reward: -41.8605, Avg: -60.0855
Ep: 190, Reward: -75.0890, Avg: -60.3593
Ep: 191, Reward: -70.4918, Avg: -60.4214
Ep: 192, Reward: -68.1275, Avg: -60.4132
Ep: 193, Reward: -74.6377, Avg: -60.4731
Ep: 194, Reward: -80.5825, Avg: -60.5194
Ep: 195, Reward: -52.5424, Avg: -60.2287
Ep: 196, Reward: -32.2709, Avg: -59.9656
Ep: 197, Reward: -83.6066, Avg: -60.0183
Ep: 198, Reward: -70.5882, Avg: -60.0282
Ep: 199, Reward: -54.1284, Avg: -59.8482
Ep: 200, Reward: -59.8540, Avg: -59.7254
Ep: 201, Reward: -76.5886, Avg: -60.0103
Ep: 202, Reward: -63.2107, Avg: -60.1342
Ep: 203, Reward: -56.3758, Avg: -60.1813
Ep: 204, Reward: -77.1242, Avg: -60.1117
Ep: 205, Reward: -83.3887, Avg: -60.3773
Ep: 206, Reward: -39.7590, Avg: -59.9742
Ep: 207, Reward: -64.9682, Avg: -59.9171
Ep: 208, Reward: -79.6610, Avg: -60.2152
Ep: 209, Reward: -65.3979, Avg: -60.2229
Ep: 210, Reward: -76.1905, Avg: -60.2848
Ep: 211, Reward: -48.6405, Avg: -60.2763
Ep: 212, Reward: -51.8519, Avg: -60.3545
Ep: 213, Reward: -67.5325, Avg: -60.3402
Ep: 214, Reward: -76.3514, Avg: -60.4660
Ep: 215, Reward: -53.9007, Avg: -60.7472
Ep: 216, Reward: -73.9414, Avg: -60.6419
Ep: 217, Reward: -79.4521, Avg: -60.5977
Ep: 218, Reward: -60.2649, Avg: -60.4752
Ep: 219, Reward: -83.1650, Avg: -60.8230
Ep: 220, Reward: -41.8605, Avg: -60.9017
Ep: 221, Reward: -72.6027, Avg: -60.8332
Ep: 222, Reward: -82.3322, Avg: -60.9515
Ep: 223, Reward: -49.6644, Avg: -60.8648
Ep: 224, Reward: -82.0359, Avg: -61.1185
Ep: 225, Reward: -65.4088, Avg: -61.1997
Ep: 226, Reward: -42.3631, Avg: -60.9081
Ep: 227, Reward: -82.3944, Avg: -61.0892
Ep: 228, Reward: -82.6389, Avg: -61.3629
Ep: 229, Reward: -81.8841, Avg: -61.3541
Ep: 230, Reward: -61.2903, Avg: -61.2527
Ep: 231, Reward: -72.1362, Avg: -61.3726
Ep: 232, Reward: -81.4815, Avg: -61.5183
Ep: 233, Reward: -38.1443, Avg: -61.1427
Ep: 234, Reward: -82.3944, Avg: -61.4684
Ep: 235, Reward: 9.0909, Avg: -60.5730
Ep: 236, Reward: -80.8917, Avg: -60.7014
Ep: 237, Reward: -66.7774, Avg: -60.8068
Ep: 238, Reward: -30.6569, Avg: -60.6219
Ep: 239, Reward: -54.8611, Avg: -61.0417
Ep: 240, Reward: -38.1443, Avg: -61.1324
Ep: 241, Reward: -59.7315, Avg: -60.9088
Ep: 242, Reward: -83.9228, Avg: -61.2096
Ep: 243, Reward: -40.1993, Avg: -60.8984
Ep: 244, Reward: -53.7954, Avg: -60.7221
Ep: 245, Reward: -4.2553, Avg: -60.0614
Ep: 246, Reward: -76.2712, Avg: -60.1538
Ep: 247, Reward: -78.6477, Avg: -60.1867
Ep: 248, Reward: -52.2184, Avg: -59.8881
Ep: 249, Reward: -68.1979, Avg: -60.4234
Ep: 250, Reward: -17.3554, Avg: -59.8663
Ep: 251, Reward: -78.7986, Avg: -60.0798
