Ep: 0, Reward: -61.7834, Avg: -61.7834
Ep: 1, Reward: -82.8179, Avg: -72.3007
Ep: 2, Reward: -14.8148, Avg: -53.1387
Ep: 3, Reward: -60.5735, Avg: -54.9974
Ep: 4, Reward: -50.0000, Avg: -53.9979
Ep: 5, Reward: -81.1321, Avg: -58.5203
Ep: 6, Reward: -55.1282, Avg: -58.0357
Ep: 7, Reward: -60.6299, Avg: -58.3600
Ep: 8, Reward: -49.4585, Avg: -57.3709
Ep: 9, Reward: -33.3333, Avg: -54.9672
Ep: 10, Reward: -15.7895, Avg: -51.4056
Ep: 11, Reward: -55.0173, Avg: -51.7065
Ep: 12, Reward: -75.6944, Avg: -53.5518
Ep: 13, Reward: -72.0280, Avg: -54.8715
Ep: 14, Reward: -57.8313, Avg: -55.0688
Ep: 15, Reward: -51.6729, Avg: -54.8566
Ep: 16, Reward: -30.3136, Avg: -53.4129
Ep: 17, Reward: -35.1145, Avg: -52.3963
Ep: 18, Reward: -11.0320, Avg: -50.2192
Ep: 19, Reward: -69.4915, Avg: -51.1828
Ep: 20, Reward: -58.1882, Avg: -51.5164
Ep: 21, Reward: -81.3084, Avg: -52.8706
Ep: 22, Reward: -60.9121, Avg: -53.2202
Ep: 23, Reward: -28.8538, Avg: -52.2050
Ep: 24, Reward: -76.3514, Avg: -53.1708
Ep: 25, Reward: -13.4615, Avg: -51.6435
Ep: 26, Reward: -55.8824, Avg: -51.8005
Ep: 27, Reward: -78.1818, Avg: -52.7427
Ep: 28, Reward: -78.4173, Avg: -53.6280
Ep: 29, Reward: -61.4035, Avg: -53.8872
Ep: 30, Reward: -27.6316, Avg: -53.0403
Ep: 31, Reward: -49.8328, Avg: -52.9400
Ep: 32, Reward: -49.8328, Avg: -52.8459
Ep: 33, Reward: -74.1697, Avg: -53.4731
Ep: 34, Reward: -66.4179, Avg: -53.8429
Ep: 35, Reward: -83.0508, Avg: -54.6542
Ep: 36, Reward: -3.5714, Avg: -53.2736
Ep: 37, Reward: -69.4656, Avg: -53.6997
Ep: 38, Reward: -54.2254, Avg: -53.7132
Ep: 39, Reward: -65.2778, Avg: -54.0023
Ep: 40, Reward: -64.5161, Avg: -54.2588
