LR: 0.0001, buffer: 10000, upd: 0.0004
Ep: 95, Reward: -38.77551020408186, Avg: -52.29244206810203
Ep: 96, Reward: -31.14754098360668, Avg: -52.07445339712785
Ep: 97, Reward: -55.932203389831116, Avg: -52.11381819297176
Ep: 98, Reward: -44.44444444444472, Avg: -52.03634977126947
Ep: 99, Reward: -34.57943925233656, Avg: -51.861780666080136
Ep: 100, Reward: -72.60273972602752, Avg: -51.826715913169764
Ep: 101, Reward: 7.913669064748197, Avg: -51.72318897861983
Ep: 102, Reward: -78.87323943661946, Avg: -51.899018147179575
Ep: 103, Reward: -27.756653992395396, Avg: -51.8522603627792
Ep: 104, Reward: -30.9090909090909, Avg: -51.476808685119316
Ep: 105, Reward: -29.26045016077181, Avg: -51.18876802543671
Ep: 106, Reward: -77.77777777777757, Avg: -51.297671631029054
Ep: 107, Reward: -65.18987341772203, Avg: -51.746912557897296
Ep: 108, Reward: 5.072463768116193, Avg: -51.31924087971769
Ep: 109, Reward: -17.56272401433722, Avg: -50.79486811986106
Ep: 110, Reward: -45.762711864407315, Avg: -50.56718055319045
Ep: 111, Reward: -34.306569343065846, Avg: -50.49848154073875
Ep: 112, Reward: -3.7037037037036673, Avg: -49.811592197407684
Ep: 113, Reward: -44.078947368421275, Avg: -50.082831498081525
Ep: 114, Reward: -58.80149812734136, Avg: -50.31832849374342
Ep: 115, Reward: -48.05194805194835, Avg: -50.35278383432121
Ep: 116, Reward: -63.23529411764758, Avg: -50.1717039396768
Ep: 117, Reward: -42.67515923566903, Avg: -49.93629336987132
Ep: 118, Reward: -7.284768211920342, Avg: -49.23940420988525
Ep: 119, Reward: -12.087912087911912, Avg: -48.73959367559194
Ep: 120, Reward: -35.97560975609782, Avg: -49.44417735935981
Ep: 121, Reward: -36.30573248407654, Avg: -49.08695496392085
Ep: 122, Reward: -76.58862876254167, Avg: -49.67068511771728
Ep: 123, Reward: -76.51006711409383, Avg: -49.59812345119588
Ep: 124, Reward: -28.571428571428562, Avg: -48.365426587084386
Ep: 125, Reward: -59.7069597069602, Avg: -48.519987473352586
Ep: 126, Reward: -39.87341772151912, Avg: -48.267153706316904
Ep: 127, Reward: -38.77551020408175, Avg: -47.91806670309457
Ep: 128, Reward: -126.28582375478929, Avg: -48.41983279047181
Ep: 129, Reward: -66.66666666666713, Avg: -48.59744836224796
Ep: 130, Reward: -34.06593406593448, Avg: -48.63255214735175
Ep: 131, Reward: -45.50408719346073, Avg: -48.54963922390681
Ep: 132, Reward: -15.129151291512715, Avg: -48.11759740348861
Ep: 133, Reward: -28.315412186380144, Avg: -47.907997902164
Ep: 134, Reward: -24.092409240924106, Avg: -47.67802252367376
Ep: 135, Reward: -10.071942446043646, Avg: -47.06142746050169
Ep: 136, Reward: 18.210862619808356, Avg: -46.10013902357805
Ep: 137, Reward: -28.31541218638044, Avg: -45.639703401852124
Ep: 138, Reward: -70.69597069597087, Avg: -45.989520251668964
Ep: 139, Reward: -34.64052287581701, Avg: -46.197348701400905
Ep: 140, Reward: -49.27536231884127, Avg: -45.944647779134776
Ep: 141, Reward: -21.82410423452759, Avg: -45.37630345562639
Ep: 142, Reward: -26.315789473684443, Avg: -45.22986725442227
Ep: 143, Reward: -30.555555555555554, Avg: -45.07682408386317
Ep: 144, Reward: -48.81889763779574, Avg: -44.78319487842296
Ep: 145, Reward: -73.06397306397311, Avg: -45.604743699971785
Ep: 146, Reward: -5.908329381298927e-13, Avg: -45.06902941425749
Ep: 147, Reward: -27.215189873417753, Avg: -45.17451464632501
Ep: 148, Reward: -42.95302013422841, Avg: -45.362665537322464
Ep: 149, Reward: -36.026936026936085, Avg: -45.061280762253475
Ep: 150, Reward: -22.297297297297334, Avg: -44.48973318728124
Ep: 151, Reward: -45.244956772334604, Avg: -44.27888309170492
Ep: 152, Reward: -21.641791044776127, Avg: -43.706568607786494
Ep: 153, Reward: -30.000000000000448, Avg: -43.35139619399338
Ep: 154, Reward: -28.315412186379955, Avg: -43.01255718870941
Ep: 155, Reward: -15.584415584415389, Avg: -43.01645788165603
Ep: 156, Reward: -60.431654676259555, Avg: -43.04713101756591
Ep: 157, Reward: -4.761904761904864, Avg: -42.36502033545523
Ep: 158, Reward: -39.49044585987274, Avg: -42.26947893418134
Ep: 159, Reward: -36.102236421725394, Avg: -41.9911570361035
Ep: 160, Reward: -19.732441471571672, Avg: -41.79250829645681
Ep: 161, Reward: -57.23684210526376, Avg: -41.58148321570438
Ep: 162, Reward: -23.076923076923553, Avg: -41.47014718331574
Ep: 163, Reward: 18.77394636015225, Avg: -40.56212799943449
Ep: 164, Reward: -3.124999999999939, Avg: -39.98811484153975
Ep: 165, Reward: -40.47619047619065, Avg: -40.20643606833555
Ep: 166, Reward: -60.57347670250953, Avg: -40.270623557423676
Ep: 167, Reward: -25.53191489361696, Avg: -39.89907703471805
Ep: 168, Reward: -31.74061433447104, Avg: -39.93813266259884
Ep: 169, Reward: -41.98895027624357, Avg: -39.55802216536128
Ep: 170, Reward: -10.931174089068527, Avg: -39.30113672315337
Ep: 171, Reward: -35.1535836177479, Avg: -39.1319057861679
Ep: 172, Reward: -23.611111111110997, Avg: -39.125592654854756
Ep: 173, Reward: -23.076923076923173, Avg: -38.69419972346182
Ep: 174, Reward: -15.129151291512713, Avg: -38.45155184243756
Ep: 175, Reward: -28.571428571428605, Avg: -38.498135693369235
Ep: 176, Reward: -57.44680851063893, Avg: -38.36865641005457
Ep: 177, Reward: -22.807017543859555, Avg: -38.29359069699143
Ep: 178, Reward: -29.48717948717959, Avg: -38.325304597126376
Ep: 179, Reward: -38.461538461538666, Avg: -37.98100431909117
Ep: 180, Reward: -46.36015325670543, Avg: -38.08218974427567
Ep: 181, Reward: -43.33333333333351, Avg: -37.77868097234584
Ep: 182, Reward: -32.20338983050852, Avg: -37.74796406158942
Ep: 183, Reward: -36.84210526315841, Avg: -37.28305178088769
Ep: 184, Reward: -41.35802469135821, Avg: -37.487010034674114
Ep: 185, Reward: -11.764705882353036, Avg: -36.93578292131221
Ep: 186, Reward: -48.7179487179491, Avg: -37.16121744204875
Ep: 187, Reward: -31.034482758620918, Avg: -37.12945700647707
Ep: 188, Reward: -27.586206896552337, Avg: -37.07992225004576
Ep: 189, Reward: -62.58503401360599, Avg: -37.288296862026485
Ep: 190, Reward: 53.846153846153, Avg: -35.90511482667055
Ep: 191, Reward: -31.50684931506849, Avg: -35.63157572488452
Ep: 192, Reward: -39.873417721519154, Avg: -35.32157203802203
Ep: 193, Reward: -25.00000000000003, Avg: -34.8223557370816
Ep: 194, Reward: -19.614147909967624, Avg: -34.82930802699208
Ep: 195, Reward: -13.38582677165366, Avg: -34.57541119266781
Ep: 196, Reward: -13.793103448275934, Avg: -34.40186681731449
Ep: 197, Reward: -34.54545454545455, Avg: -34.18799932887073
Ep: 198, Reward: -23.076923076923052, Avg: -33.97432411519551
Ep: 199, Reward: 3.202846975089294, Avg: -33.59650125292125
Ep: 200, Reward: -25.266903914591243, Avg: -33.12314289480689
Ep: 201, Reward: -35.06493506493524, Avg: -33.55292893610372
Ep: 202, Reward: -13.043478260870145, Avg: -32.894631324346236
Ep: 203, Reward: -29.577464788732986, Avg: -32.9128394323096
Ep: 204, Reward: -33.55481727574766, Avg: -32.939296695976175
Ep: 205, Reward: -11.111111111110958, Avg: -32.75780330547956
Ep: 206, Reward: -49.1017964071861, Avg: -32.471043491773656
Ep: 207, Reward: -34.48275862068984, Avg: -32.16397234380333
Ep: 208, Reward: -29.292929292929266, Avg: -32.50762627441379
Ep: 209, Reward: -30.0000000000002, Avg: -32.631999034270414
Ep: 210, Reward: -37.086092715232006, Avg: -32.54523284277866
Ep: 211, Reward: -27.75665399239562, Avg: -32.47973368927196
Ep: 212, Reward: -40.199335548173266, Avg: -32.84469000771665
Ep: 213, Reward: -22.509225092251082, Avg: -32.62899278495495
Ep: 214, Reward: -24.812030075188535, Avg: -32.28909810443342
Ep: 215, Reward: -23.37164750957868, Avg: -32.04229509900973
Ep: 216, Reward: -21.7081850533808, Avg: -31.627024008367066
Ep: 217, Reward: -37.12574850299428, Avg: -31.57152990104031
Ep: 218, Reward: 12.449799196786557, Avg: -31.374184226953247
Ep: 219, Reward: -36.30573248407652, Avg: -31.616362430914897
Ep: 220, Reward: -44.09937888198784, Avg: -31.697600122173796
Ep: 221, Reward: -36.102236421725564, Avg: -31.695565161550284
Ep: 222, Reward: -31.2714776632303, Avg: -31.242393650557165
Ep: 223, Reward: 2.661596958174113, Avg: -30.45067700983449
Ep: 224, Reward: -24.528301886792335, Avg: -30.410245742988128
Ep: 225, Reward: -55.93220338983115, Avg: -30.372498179816834
Ep: 226, Reward: -30.79584775086508, Avg: -30.281722480110297
Ep: 227, Reward: -36.708860759493724, Avg: -30.261055985664417
Ep: 228, Reward: -21.232876712328643, Avg: -29.210526515239806
Ep: 229, Reward: -39.75903614457853, Avg: -28.941450210018925
Ep: 230, Reward: -37.31343283582114, Avg: -28.973925197717787
Ep: 231, Reward: -34.93150684931563, Avg: -28.86819939427634
