LR: 0.0001, buffer: 10000, upd: 0.0004
Batch: 32, Disc: 0.97, eps decay: 0.998, stack: 2
Ep: 0, Reward: -70.58823529411785, Avg: -70.58823529411785
Ep: 1, Reward: -69.3877551020411, Avg: -69.98799519807947
Ep: 2, Reward: -60.992907801418994, Avg: -66.98963273252598
Ep: 3, Reward: -72.22222222222236, Avg: -68.29778010495008
Ep: 4, Reward: -53.642384105960815, Avg: -65.36670090515221
Ep: 5, Reward: -58.041958041958466, Avg: -64.14591042795327
Ep: 6, Reward: -65.77946768060885, Avg: -64.3792757497612
Ep: 7, Reward: -46.42857142857218, Avg: -62.135437709612575
Ep: 8, Reward: -58.95522388059762, Avg: -61.7820806174998
Ep: 9, Reward: -69.69696969696996, Avg: -62.573569525446814
Ep: 10, Reward: -36.619718309859685, Avg: -60.21412850584798
Ep: 11, Reward: -50.354609929078755, Avg: -59.39250195778388
Ep: 12, Reward: -0.332225913621269, Avg: -54.8494038005406
Ep: 13, Reward: -47.54098360655772, Avg: -54.32737378668468
Ep: 14, Reward: -1.14068441064631, Avg: -50.781594494948784
Ep: 15, Reward: -52.07667731629431, Avg: -50.862537171282895
Ep: 16, Reward: -68.53146853146885, Avg: -51.901886074823246
Ep: 17, Reward: -59.86622073578645, Avg: -52.34434911154342
Ep: 18, Reward: -78.79858657243791, Avg: -53.73667739895892
Ep: 19, Reward: -64.28571428571509, Avg: -54.26412924329672
Ep: 20, Reward: -59.85401459854067, Avg: -54.5303142602131
Ep: 21, Reward: -60.992907801419, Avg: -54.82406851208611
Ep: 22, Reward: -77.09923664122124, Avg: -55.792554082918066
Ep: 23, Reward: -59.752321981424906, Avg: -55.957544412022514
Ep: 24, Reward: -77.7070063694266, Avg: -56.827522890318676
Ep: 25, Reward: -81.61764705882312, Avg: -57.78098920449193
Ep: 26, Reward: -77.1986970684038, Avg: -58.500163569822
Ep: 27, Reward: -32.000000000000384, Avg: -57.55372915661409
Ep: 28, Reward: -41.81818181818228, Avg: -57.01112407597851
Ep: 29, Reward: -8.783783783784456, Avg: -55.403546066238704
Ep: 30, Reward: -37.282229965156965, Avg: -54.818987482332844
Ep: 31, Reward: -82.63888888888843, Avg: -55.6883594012877
Ep: 32, Reward: -80.5825242718443, Avg: -56.442728033728805
Ep: 33, Reward: -77.917981072555, Avg: -57.07435312310605
Ep: 34, Reward: -73.50993377483447, Avg: -57.54394114172686
Ep: 35, Reward: -16.943521594684327, Avg: -56.41615170986457
Ep: 36, Reward: -43.03797468354509, Avg: -56.054579357801884
Ep: 37, Reward: -74.35897435897434, Avg: -56.53627396309589
Ep: 38, Reward: -75.77854671280267, Avg: -57.02966557206273
Ep: 39, Reward: -30.313588850174195, Avg: -56.36176365401552
Ep: 40, Reward: -19.191919191919045, Avg: -55.455182081769266
Ep: 41, Reward: -28.05755395683477, Avg: -54.80285760260416
Ep: 42, Reward: -74.78991596638659, Avg: -55.2676729133898
Ep: 43, Reward: -51.76848874598114, Avg: -55.18814600049416
Ep: 44, Reward: -65.0349650349657, Avg: -55.406964201260195
Ep: 45, Reward: -65.15679442508777, Avg: -55.61891703221297
Ep: 46, Reward: -52.94117647058876, Avg: -55.561943828774154
Ep: 47, Reward: -45.01718213058447, Avg: -55.34226129339519
Ep: 48, Reward: -63.50364963503706, Avg: -55.508820239142985
Ep: 49, Reward: -30.37974683544297, Avg: -55.006238771068986
Ep: 50, Reward: -19.73244147157173, Avg: -54.31459568676512
Ep: 51, Reward: -30.00000000000005, Avg: -53.84700730817348
Ep: 52, Reward: -62.96296296296348, Avg: -54.01900647147141
Ep: 53, Reward: -53.56037151702848, Avg: -54.010513231574315
Ep: 54, Reward: -36.87707641196063, Avg: -53.698996198490434
Ep: 55, Reward: -79.02097902097874, Avg: -54.15117446317772
Ep: 56, Reward: -29.9363057324843, Avg: -53.7263522047445
Ep: 57, Reward: -77.77777777777757, Avg: -54.141031956003694
Ep: 58, Reward: -12.621359223301013, Avg: -53.43730868934772
Ep: 59, Reward: -55.47945205479515, Avg: -53.471344412105175
Ep: 60, Reward: -68.64111498257869, Avg: -53.72002917555556
Ep: 61, Reward: -61.80555555555611, Avg: -53.85044089136202
Ep: 62, Reward: -47.36842105263194, Avg: -53.74755168757265
Ep: 63, Reward: -60.13289036544921, Avg: -53.84732260441448
Ep: 64, Reward: -71.6088328075711, Avg: -54.12057660753997
Ep: 65, Reward: -69.41896024464857, Avg: -54.35237029901131
Ep: 66, Reward: -70.4918032786887, Avg: -54.59325735840948
Ep: 67, Reward: -54.09836065573807, Avg: -54.585979465723135
Ep: 68, Reward: -73.28244274809168, Avg: -54.85694270169949
Ep: 69, Reward: -60.14492753623247, Avg: -54.93248534219282
Ep: 70, Reward: -17.76315789473667, Avg: -54.40897368800329
Ep: 71, Reward: -69.69696969696996, Avg: -54.6213069659056
Ep: 72, Reward: -22.480620155038594, Avg: -54.18102358493482
Ep: 73, Reward: -72.8915662650603, Avg: -54.43386875628787
Ep: 74, Reward: -74.0740740740742, Avg: -54.695738160525025
Ep: 75, Reward: -77.34627831715193, Avg: -54.993771583638534
Ep: 76, Reward: -72.50859106529217, Avg: -55.22123677171196
Ep: 77, Reward: -83.97435897435844, Avg: -55.58986654354076
Ep: 78, Reward: -35.06493506493562, Avg: -55.33005728431791
Ep: 79, Reward: -36.090225563910224, Avg: -55.08955938781281
Ep: 80, Reward: -64.41281138790113, Avg: -55.204661264357114
Ep: 81, Reward: -60.85409252669087, Avg: -55.27355676755631
Ep: 82, Reward: -35.810810810810935, Avg: -55.039065852414794
Ep: 83, Reward: -73.38403041825099, Avg: -55.25745828772237
Ep: 84, Reward: -35.06493506493507, Avg: -55.01989919098369
Ep: 85, Reward: -78.7234042553189, Avg: -55.29552134289457
Ep: 86, Reward: -171.59407665505242, Avg: -56.63228634648259
Ep: 87, Reward: -26.923076923076938, Avg: -56.294681693943886
Ep: 88, Reward: -31.27147766323032, Avg: -56.01352209809317
Ep: 89, Reward: -76.74418604651147, Avg: -56.24386280863116
Ep: 90, Reward: -24.1877256317694, Avg: -55.89159756492938
Ep: 91, Reward: -80.06644518272398, Avg: -56.15436764773149
Ep: 92, Reward: -75.75757575757567, Avg: -56.36515483170832
Ep: 93, Reward: -40.39735099337768, Avg: -56.19528457810905
Ep: 94, Reward: -40.972222222222506, Avg: -56.035041816468144
Ep: 95, Reward: -41.818181818182204, Avg: -55.88694952481933
Ep: 96, Reward: -39.929328621908326, Avg: -55.72243796911921
Ep: 97, Reward: 57.205240174672426, Avg: -54.57011472275399
Ep: 98, Reward: -77.04918032786868, Avg: -54.79717599149252
Ep: 99, Reward: -26.573426573426612, Avg: -54.51493849731186
Ep: 100, Reward: -40.62500000000072, Avg: -54.215306144370686
Ep: 101, Reward: -71.11913357400736, Avg: -54.23261992909036
Ep: 102, Reward: -24.09240924092476, Avg: -53.86361494348543
Ep: 103, Reward: -80.45602605863158, Avg: -53.945952981849516
Ep: 104, Reward: -58.59872611465016, Avg: -53.9955164019364
Ep: 105, Reward: -38.1107491856679, Avg: -53.7962043133735
Ep: 106, Reward: -47.712418300653994, Avg: -53.61553381957395
Ep: 107, Reward: 2.236421725239185, Avg: -53.12888388803584
Ep: 108, Reward: -42.67515923566936, Avg: -52.96608324158656
Ep: 109, Reward: -76.19047619047608, Avg: -53.03101830652162
Ep: 110, Reward: -24.18772563176903, Avg: -52.90669837974071
Ep: 111, Reward: -40.95940959409621, Avg: -52.81274637639089
Ep: 112, Reward: -62.145110410095135, Avg: -53.43087522135563
Ep: 113, Reward: -56.36363636363701, Avg: -53.51910174892642
Ep: 114, Reward: -26.470588235294795, Avg: -53.77240078717289
Ep: 115, Reward: -24.18772563176938, Avg: -53.493511270327645
Ep: 116, Reward: -20.577617328520304, Avg: -53.01397275829815
Ep: 117, Reward: -21.348314606741347, Avg: -52.628793697007694
Ep: 118, Reward: -75.69444444444449, Avg: -52.59775227572777
Ep: 119, Reward: -5.723905723905595, Avg: -52.012134190109684
Ep: 120, Reward: -74.02597402597402, Avg: -52.15385378438401
Ep: 121, Reward: -48.571428571428896, Avg: -52.02963899208411
Ep: 122, Reward: -60.00000000000046, Avg: -51.85864662567191
Ep: 123, Reward: -48.27586206896579, Avg: -51.74388202654732
Ep: 124, Reward: -24.83660130718961, Avg: -51.21517797592495
Ep: 125, Reward: -25.79505300353346, Avg: -50.65695203537205
Ep: 126, Reward: -24.698795180723145, Avg: -50.131953016495245
Ep: 127, Reward: -43.75000000000027, Avg: -50.249453016495245
Ep: 128, Reward: -64.16938110749238, Avg: -50.472965009388325
Ep: 129, Reward: -71.01449275362334, Avg: -51.09527209908671
Ep: 130, Reward: -72.56097560975623, Avg: -51.44805955553271
Ep: 131, Reward: -50.16611295681096, Avg: -51.12333179621195
Ep: 132, Reward: -67.32026143790884, Avg: -50.990709167872595
Ep: 133, Reward: -43.70860927152391, Avg: -50.648615449862284
Ep: 134, Reward: -77.19869706840373, Avg: -50.685503082797965
Ep: 135, Reward: -75.15527950310552, Avg: -51.26762066188219
Ep: 136, Reward: -56.37583892617525, Avg: -51.40099930430848
Ep: 137, Reward: -24.137931034482747, Avg: -50.89878887106358
Ep: 138, Reward: -11.262798634812906, Avg: -50.25363139028368
Ep: 139, Reward: -32.58426966292149, Avg: -50.276338198411146
Ep: 140, Reward: -51.92307692307761, Avg: -50.60364977572274
Ep: 141, Reward: -69.38775510204113, Avg: -51.0169517871748
Ep: 142, Reward: -49.526813880126944, Avg: -50.7643207663122
Ep: 143, Reward: 3.2028469750883026, Avg: -50.2146074091015
Ep: 144, Reward: -62.96296296296367, Avg: -50.193887388381484
Ep: 145, Reward: -16.129032258064413, Avg: -49.703609766711246
Ep: 146, Reward: -83.22147651006662, Avg: -50.00641276710603
Ep: 147, Reward: -50.53003533568981, Avg: -50.06154129915708
Ep: 148, Reward: -40.140845070423154, Avg: -49.82791325351094
Ep: 149, Reward: -20.948616600790277, Avg: -49.73360195116442
Ep: 150, Reward: -65.51724137931083, Avg: -50.191449950241804
Ep: 151, Reward: -79.72972972972947, Avg: -50.6887472475391
Ep: 152, Reward: -30.379746835443516, Avg: -50.36291508626389
Ep: 153, Reward: -11.6465863453812, Avg: -49.943777234547426
Ep: 154, Reward: -29.260450160772, Avg: -49.867610972035536
Ep: 155, Reward: -58.47750865051946, Avg: -49.66217626833096
Ep: 156, Reward: -60.99290780141892, Avg: -49.97274228902031
Ep: 157, Reward: -77.84810126582269, Avg: -49.973445523900764
Ep: 158, Reward: -42.59818731117856, Avg: -50.27321380477954
Ep: 159, Reward: -75.23219814241479, Avg: -50.47074126565573
Ep: 160, Reward: -47.735191637630905, Avg: -50.26168203220625
Ep: 161, Reward: -27.00729927007335, Avg: -49.91369946935142
Ep: 162, Reward: -60.396039603961164, Avg: -50.04397565486471
Ep: 163, Reward: -47.55244755244804, Avg: -49.91817122673469
Ep: 164, Reward: -68.53146853146885, Avg: -49.88739758397368
Ep: 165, Reward: -136.71766561514215, Avg: -50.56038463767861
Ep: 166, Reward: -30.79584775086521, Avg: -50.16342508240038
Ep: 167, Reward: -38.52459016393475, Avg: -50.00768737748234
Ep: 168, Reward: -23.3449477351915, Avg: -49.508312427353346
Ep: 169, Reward: -69.89966555183975, Avg: -49.605859807509404
Ep: 170, Reward: -122.72413793103443, Avg: -50.655469607872384
Ep: 171, Reward: -27.586206896551683, Avg: -50.23436197986821
Ep: 172, Reward: -51.6728624535324, Avg: -50.52628440285314
Ep: 173, Reward: -14.110429447853024, Avg: -49.938473034681074
Ep: 174, Reward: -33.57933579335818, Avg: -49.53352565187391
Ep: 175, Reward: -82.08955223880554, Avg: -49.58095839109044
Ep: 176, Reward: -63.265306122449545, Avg: -49.488525541662014
Ep: 177, Reward: -12.499999999999925, Avg: -48.77378195191844
Ep: 178, Reward: -57.51633986928147, Avg: -48.99829599996188
Ep: 179, Reward: -50.00000000000043, Avg: -49.13739374432278
Ep: 180, Reward: -36.10223642172528, Avg: -48.85428799466103
Ep: 181, Reward: -72.13622291021699, Avg: -48.96710929849629
Ep: 182, Reward: -138.16666666666688, Avg: -49.99066785705486
Ep: 183, Reward: -44.262295081967956, Avg: -49.69945050369202
Ep: 184, Reward: -159.3029197080297, Avg: -50.94183035012297
Ep: 185, Reward: -31.677018633540992, Avg: -50.47136649390519
Ep: 186, Reward: -72.88135593220345, Avg: -49.484239286676704
Ep: 187, Reward: -76.35135135135123, Avg: -49.97852203095944
Ep: 188, Reward: -73.85620915032683, Avg: -50.40436934583041
Ep: 189, Reward: -31.159420289855017, Avg: -49.948521688263845
Ep: 190, Reward: -68.19787985865781, Avg: -50.38862323053274
Ep: 191, Reward: -78.9473684210524, Avg: -50.37743246291602
Ep: 192, Reward: -11.949685534591389, Avg: -49.739353560686176
Ep: 193, Reward: -58.46645367412184, Avg: -49.92004458749362
Ep: 194, Reward: -62.837837837838414, Avg: -50.13870074364978
Ep: 195, Reward: -29.078014184397222, Avg: -50.01129906731193
Ep: 196, Reward: -59.537572254335906, Avg: -50.207381503636206
Ep: 197, Reward: -37.50000000000022, Avg: -51.15443390538292
Ep: 198, Reward: -42.1487603305788, Avg: -50.80542970541003
Ep: 199, Reward: -57.09570957095768, Avg: -51.110652535385334
Ep: 200, Reward: -42.02898550724658, Avg: -51.124692390457795
Ep: 201, Reward: -61.538461538462066, Avg: -51.02888567010235
Ep: 202, Reward: -41.71779141104354, Avg: -51.20513949180353
Ep: 203, Reward: -84.66257668711599, Avg: -51.24720499808837
Ep: 204, Reward: -67.62589928057588, Avg: -51.337476729747635
Ep: 205, Reward: -64.8562300319495, Avg: -51.60493153821044
Ep: 206, Reward: -71.22302158273395, Avg: -51.840037571031246
Ep: 207, Reward: -5.405405405405082, Avg: -51.91645584233769
Ep: 208, Reward: -70.4918032786887, Avg: -52.19462228276789
Ep: 209, Reward: -52.70270270270306, Avg: -51.95974454789016
Ep: 210, Reward: -29.999999999999954, Avg: -52.01786729157247
Ep: 211, Reward: -48.148148148148394, Avg: -52.089754677113
Ep: 212, Reward: -35.48387096774226, Avg: -51.82314228268947
Ep: 213, Reward: -41.55844155844203, Avg: -51.67509033463751
Ep: 214, Reward: -61.90476190476242, Avg: -52.029432071332195
Ep: 215, Reward: -58.04195804195858, Avg: -52.367974395434075
Ep: 216, Reward: -64.05228758169989, Avg: -52.80272109796587
Ep: 217, Reward: -30.909090909091308, Avg: -52.89832886098936
Ep: 218, Reward: -34.25605536332219, Avg: -52.48394497017814
Ep: 219, Reward: -38.31168831168893, Avg: -52.809822796055975
Ep: 220, Reward: -115.59735099337735, Avg: -53.22553656573002
Ep: 221, Reward: -83.05084745762663, Avg: -53.57033075459199
Ep: 222, Reward: -74.91039426523292, Avg: -53.71943469724432
Ep: 223, Reward: -80.45602605863158, Avg: -54.04123633714097
Ep: 224, Reward: -148.89056603773614, Avg: -55.28177598444643
Ep: 225, Reward: -53.33333333333387, Avg: -55.55715878774444
Ep: 226, Reward: -43.85964912280719, Avg: -55.748767327165275
Ep: 227, Reward: -50.35460992907841, Avg: -55.81481342645607
Ep: 228, Reward: -48.630136986302105, Avg: -55.65942098524417
Ep: 229, Reward: -80.06644518272392, Avg: -55.74994050953518
Ep: 230, Reward: -48.529411764706566, Avg: -55.50962487108468
Ep: 231, Reward: -55.78231292517069, Avg: -55.56578687076827
Ep: 232, Reward: -43.820224719101624, Avg: -55.3307865035802
Ep: 233, Reward: -58.083832335329824, Avg: -55.47453873421826
Ep: 234, Reward: -63.41463414634237, Avg: -55.33669810499765
Ep: 235, Reward: -31.14754098360674, Avg: -54.89662071980267
Ep: 236, Reward: -9.090909090908879, Avg: -54.42377142144999
Ep: 237, Reward: -43.113772455090036, Avg: -54.61352983565607
Ep: 238, Reward: -14.814814814814628, Avg: -54.64904999745609
Ep: 239, Reward: -77.2727272727271, Avg: -55.09593457355414
Ep: 240, Reward: -75.94501718213047, Avg: -55.33615397614468
Ep: 241, Reward: -55.71955719557252, Avg: -55.19947199707999
Ep: 242, Reward: -69.3877551020411, Avg: -55.39808140929914
Ep: 243, Reward: -71.73144876325112, Avg: -56.14742436668253
Ep: 244, Reward: -32.203389830508556, Avg: -55.83982863535798
Ep: 245, Reward: -66.46341463414684, Avg: -56.3431724591188
Ep: 246, Reward: -78.94736842105236, Avg: -56.30043137822866
Ep: 247, Reward: -83.87096774193496, Avg: -56.63384070229111
Ep: 248, Reward: -59.409594095941486, Avg: -56.826528192546284
Ep: 249, Reward: -81.01265822784772, Avg: -57.42716860881686
Ep: 250, Reward: -56.6666666666671, Avg: -57.338662861690416
Ep: 251, Reward: -45.84837545126418, Avg: -56.99984931890578
Ep: 252, Reward: -65.87030716723595, Avg: -57.3547549222237
Ep: 253, Reward: -53.020134228188255, Avg: -57.768490401051764
Ep: 254, Reward: -33.56643356643368, Avg: -57.81155023510838
