LR: 0.0001, buffer: 100000, upd: 0.0004
Batch: 32, Disc: 0.97, eps decay: 0.999, stack: 2
Ep: 0, Reward: -39.068100358423564, Avg: -39.068100358423564
Ep: 1, Reward: -59.6541786743521, Avg: -49.36113951638784
Ep: 2, Reward: -56.69291338582729, Avg: -51.80506413953432
Ep: 3, Reward: -49.324324324324934, Avg: -51.18487918573197
Ep: 4, Reward: -40.6779661016958, Avg: -49.08349656892474
Ep: 5, Reward: -69.2307692307695, Avg: -52.44137534589887
Ep: 6, Reward: -61.9377162629763, Avg: -53.79799547690993
Ep: 7, Reward: -65.39792387543301, Avg: -55.24798652672531
Ep: 8, Reward: -11.43911439114382, Avg: -50.38033406721626
Ep: 9, Reward: -23.40425531914906, Avg: -47.68272619240954
Ep: 10, Reward: -75.83081570996968, Avg: -50.241643421278646
Ep: 11, Reward: -82.81786941580708, Avg: -52.95632892082268
Ep: 12, Reward: -67.10526315789517, Avg: -54.04470847752056
Ep: 13, Reward: -74.54545454545458, Avg: -55.50904748237299
Ep: 14, Reward: -53.64238410596101, Avg: -55.38460325727886
Ep: 15, Reward: -54.69255663430472, Avg: -55.341350343342974
Ep: 16, Reward: 4.247104247104087, Avg: -51.836147132140205
Ep: 17, Reward: -33.56643356643392, Avg: -50.821163045156524
Ep: 18, Reward: -68.84735202492244, Avg: -51.76990983356526
Ep: 19, Reward: -33.566433566434114, Avg: -50.8597360202087
Ep: 20, Reward: -80.1324503311255, Avg: -52.25367479691902
Ep: 21, Reward: -56.25000000000041, Avg: -52.43532594251363
Ep: 22, Reward: -46.360153256705345, Avg: -52.1711879996524
Ep: 23, Reward: -43.78698224852129, Avg: -51.82184609335527
Ep: 24, Reward: -68.1528662420386, Avg: -52.475086899302596
Ep: 25, Reward: -31.034482758620978, Avg: -51.65044827850715
Ep: 26, Reward: -64.02877697841798, Avg: -52.10890489702236
Ep: 27, Reward: -21.146953405017918, Avg: -51.00312091516506
Ep: 28, Reward: -77.4436090225562, Avg: -51.914861884385445
Ep: 29, Reward: -22.619047619047596, Avg: -50.93833474220752
Ep: 30, Reward: -59.04436860068308, Avg: -51.19981970538416
Ep: 31, Reward: -58.188153310105, Avg: -51.41820513053169
Ep: 32, Reward: -41.64456233421835, Avg: -51.12203413670401
Ep: 33, Reward: -74.52229299363056, Avg: -51.81027704426067
Ep: 34, Reward: -60.655737704918806, Avg: -52.06300449170805
Ep: 35, Reward: -4.109589041095862, Avg: -50.73096517363549
Ep: 36, Reward: -54.372623574145116, Avg: -50.82938837364926
Ep: 37, Reward: -25.423728813559716, Avg: -50.16081838522585
Ep: 38, Reward: -74.84276729559744, Avg: -50.793688870107175
Ep: 39, Reward: -62.45733788395958, Avg: -51.085280095453484
Ep: 40, Reward: -20.318725099601625, Avg: -50.33487631506685
Ep: 41, Reward: -61.038961038961645, Avg: -50.58973547515958
Ep: 42, Reward: -70.6840390879481, Avg: -51.0570448615035
Ep: 43, Reward: -78.79858657243793, Avg: -51.68753444584292
Ep: 44, Reward: -53.488372093023976, Avg: -51.727553060224714
Ep: 45, Reward: -64.15770609319055, Avg: -51.997773778332665
Ep: 46, Reward: -170.92786885245923, Avg: -54.528201333101315
Ep: 47, Reward: -34.9112426035508, Avg: -54.11951469290236
Ep: 48, Reward: -60.78431372549075, Avg: -54.255530999689874
Ep: 49, Reward: -76.65369649805434, Avg: -54.70349430965716
Ep: 50, Reward: -69.34865900383166, Avg: -54.99065440169979
Ep: 51, Reward: -42.44604316546788, Avg: -54.74941187792611
Ep: 52, Reward: -57.51633986928189, Avg: -54.80161806644226
Ep: 53, Reward: -44.852941176471234, Avg: -54.61738330922057
Ep: 54, Reward: -79.7979797979795, Avg: -55.07521233628892
Ep: 55, Reward: -62.32876712328821, Avg: -55.20474010034247
Ep: 56, Reward: -35.89743589743638, Avg: -54.866015465203766
Ep: 57, Reward: -72.02797202797213, Avg: -55.16191126801012
Ep: 58, Reward: -65.15679442508758, Avg: -55.33131606728262
Ep: 59, Reward: -69.96996996996977, Avg: -55.57529363232741
Ep: 60, Reward: -33.9933993399341, Avg: -55.22149208655047
Ep: 61, Reward: -33.11036789297666, Avg: -54.864861051170244
Ep: 62, Reward: -58.188153310105314, Avg: -54.917611721947
Ep: 63, Reward: -49.09090909090961, Avg: -54.82656949333703
Ep: 64, Reward: -6.97674418604711, Avg: -54.09041833476334
Ep: 65, Reward: -7.692307692307946, Avg: -53.387416658362504
Ep: 66, Reward: -47.55244755244825, Avg: -53.30032756722945
Ep: 67, Reward: -55.32646048110012, Avg: -53.33012363949226
Ep: 68, Reward: -44.1176470588238, Avg: -53.196609486149235
Ep: 69, Reward: -15.322580645161171, Avg: -52.65555193127798
Ep: 70, Reward: -70.3947368421055, Avg: -52.90539960607836
Ep: 71, Reward: -59.501557632399326, Avg: -52.99701291199949
Ep: 72, Reward: -51.21951219512237, Avg: -52.97266358711076
Ep: 73, Reward: -60.52631578947421, Avg: -53.07473996822378
Ep: 74, Reward: -44.055944055944444, Avg: -52.95448935606006
Ep: 75, Reward: -82.33215547703135, Avg: -53.34103759449389
Ep: 76, Reward: -61.83206106870278, Avg: -53.451310626626466
Ep: 77, Reward: -78.79858657243791, Avg: -53.77627570285482
Ep: 78, Reward: -16.981132075471603, Avg: -53.31051439111579
Ep: 79, Reward: -38.144329896907365, Avg: -53.12093708493819
Ep: 80, Reward: -83.92282958199304, Avg: -53.50120736267961
Ep: 81, Reward: -70.50147492625392, Avg: -53.70852769882075
Ep: 82, Reward: -32.862190812721096, Avg: -53.45736701344605
Ep: 83, Reward: -83.38870431893638, Avg: -53.813692457559036
Ep: 84, Reward: -58.76288659793861, Avg: -53.871918270975264
Ep: 85, Reward: -40.95940959409673, Avg: -53.721772821244116
Ep: 86, Reward: -43.89438943894441, Avg: -53.608814391562504
Ep: 87, Reward: -46.23655913978538, Avg: -53.52503876370142
Ep: 88, Reward: -54.545454545455, Avg: -53.536504109563815
Ep: 89, Reward: -53.177257525084, Avg: -53.53251248084737
Ep: 90, Reward: -64.98054474708246, Avg: -53.65831503322359
Ep: 91, Reward: -68.75000000000036, Avg: -53.82235508721028
Ep: 92, Reward: -39.393939393939604, Avg: -53.66721083244394
Ep: 93, Reward: -53.40501792114729, Avg: -53.66442154615355
Ep: 94, Reward: -29.82456140350875, Avg: -53.41347564991518
Ep: 95, Reward: -66.77740863787415, Avg: -53.55268328520642
Ep: 96, Reward: -65.03496503496575, Avg: -53.67105732386373
Ep: 97, Reward: -17.525773195876194, Avg: -53.302227893986306
Ep: 98, Reward: -35.60606060606113, Avg: -53.12347872946181
Ep: 99, Reward: -59.51417004048628, Avg: -53.18738564257205
Ep: 100, Reward: -54.70383275261361, Avg: -53.34374296651396
Ep: 101, Reward: -64.02877697841785, Avg: -53.387488949554616
Ep: 102, Reward: -72.41379310344836, Avg: -53.54469774673083
Ep: 103, Reward: -45.686900958466914, Avg: -53.508323513072256
Ep: 104, Reward: -62.02531645569704, Avg: -53.721797016612264
Ep: 105, Reward: -30.23255813953532, Avg: -53.33181490569992
Ep: 106, Reward: -69.04024767801891, Avg: -53.40284021985035
Ep: 107, Reward: -80.39215686274476, Avg: -53.55278254972346
Ep: 108, Reward: -43.62017804154335, Avg: -53.87459318622746
Ep: 109, Reward: -71.33757961783454, Avg: -54.353926429214305
Ep: 110, Reward: -56.204379562044394, Avg: -54.15766206773505
Ep: 111, Reward: -13.357400722021486, Avg: -53.4630573807972
Ep: 112, Reward: -58.041958041958466, Avg: -53.37242432963783
Ep: 113, Reward: 18.518518518517887, Avg: -52.44178459899811
Ep: 114, Reward: -51.12781954887287, Avg: -52.41663895342722
Ep: 115, Reward: -61.53846153846225, Avg: -52.485098002468796
Ep: 116, Reward: -50.16611295681103, Avg: -53.029230174507944
Ep: 117, Reward: -41.36807817589617, Avg: -53.107246620602574
Ep: 118, Reward: -72.69624573378846, Avg: -53.14573555769123
