Ep: 0, Reward: -45.7554, Test: -34.2744, Avg: -34.2744
Ep: 1, Reward: -31.5599, Test: -22.8662, Avg: -28.5703
Ep: 2, Reward: -27.3005, Test: -39.1130, Avg: -32.0845
Ep: 3, Reward: -30.2169, Test: -57.4481, Avg: -38.4254
Ep: 4, Reward: -61.9407, Test: -72.2088, Avg: -45.1821
Ep: 5, Reward: -72.5807, Test: -71.3896, Avg: -49.5500
Ep: 6, Reward: -66.3797, Test: -60.3427, Avg: -51.0918
Ep: 7, Reward: -62.1662, Test: -49.1506, Avg: -50.8492
Ep: 8, Reward: -46.2984, Test: -55.3406, Avg: -51.3482
Ep: 9, Reward: -44.3021, Test: -39.5179, Avg: -50.1652
Ep: 10, Reward: -24.4822, Test: 28.6502, Avg: -43.0002
Ep: 11, Reward: 15.0349, Test: 90.2858, Avg: -31.8930
Ep: 12, Reward: 99.5868, Test: 181.6995, Avg: -15.4628
Ep: 13, Reward: 193.7553, Test: 154.1730, Avg: -3.3460
Ep: 14, Reward: 215.8220, Test: 185.6884, Avg: 9.2563
Ep: 15, Reward: 306.3881, Test: 317.9720, Avg: 28.5511
Ep: 16, Reward: 350.1914, Test: 331.8568, Avg: 46.3926
Ep: 17, Reward: 250.8635, Test: 381.4328, Avg: 65.0059
Ep: 18, Reward: 392.5332, Test: 399.7204, Avg: 82.6225
Ep: 19, Reward: 282.0167, Test: 281.8736, Avg: 92.5850
Ep: 20, Reward: 235.5664, Test: 196.1139, Avg: 97.5150
Ep: 21, Reward: 216.0063, Test: 163.3483, Avg: 100.5074
Ep: 22, Reward: 222.2358, Test: 260.7713, Avg: 107.4754
Ep: 23, Reward: 247.2639, Test: 240.6348, Avg: 113.0237
Ep: 24, Reward: 409.0207, Test: 258.5378, Avg: 118.8443
Ep: 25, Reward: 337.9703, Test: 282.3854, Avg: 125.1343
Ep: 26, Reward: 221.8966, Test: 286.3415, Avg: 131.1049
Ep: 27, Reward: 164.6671, Test: 236.5949, Avg: 134.8724
Ep: 28, Reward: 160.6570, Test: 195.1147, Avg: 136.9498
Ep: 29, Reward: 308.2246, Test: 202.1985, Avg: 139.1247
Ep: 30, Reward: 258.3600, Test: 317.7255, Avg: 144.8860
Ep: 31, Reward: 406.1481, Test: 466.5059, Avg: 154.9367
Ep: 32, Reward: 291.6239, Test: 205.9442, Avg: 156.4823
Ep: 33, Reward: 512.9192, Test: 191.5429, Avg: 157.5135
Ep: 34, Reward: 335.2274, Test: 526.9643, Avg: 168.0693
Ep: 35, Reward: 614.0403, Test: 389.5140, Avg: 174.2205
Ep: 36, Reward: 488.5677, Test: 466.3495, Avg: 182.1159
Ep: 37, Reward: 364.6152, Test: 454.4065, Avg: 189.2814
Ep: 38, Reward: 458.0197, Test: 550.4671, Avg: 198.5426
Ep: 39, Reward: 510.3311, Test: 348.6802, Avg: 202.2960
Ep: 40, Reward: 533.9980, Test: 596.8861, Avg: 211.9202
Ep: 41, Reward: 477.7031, Test: 508.6203, Avg: 218.9845
Ep: 42, Reward: 380.0454, Test: 657.0724, Avg: 229.1726
Ep: 43, Reward: 454.2008, Test: 482.2064, Avg: 234.9233
Ep: 44, Reward: 536.1789, Test: 576.8600, Avg: 242.5219
Ep: 45, Reward: 608.4689, Test: 740.7645, Avg: 253.3533
Ep: 46, Reward: 542.0110, Test: 378.9633, Avg: 256.0258
Ep: 47, Reward: 674.6401, Test: 664.4552, Avg: 264.5348
Ep: 48, Reward: 560.1553, Test: 471.9137, Avg: 268.7670
Ep: 49, Reward: 610.8035, Test: 592.9799, Avg: 275.2513
Ep: 50, Reward: 593.5831, Test: 616.4399, Avg: 281.9412
