Ep: 0, Reward: -67.1286, Avg: -67.1286
Ep: 1, Reward: -78.9459, Avg: -73.0373
Ep: 2, Reward: -73.4472, Avg: -73.1739
Ep: 3, Reward: -72.4429, Avg: -72.9911
Ep: 4, Reward: -74.6628, Avg: -73.3255
Ep: 5, Reward: -68.2109, Avg: -72.4731
Ep: 6, Reward: -58.0829, Avg: -70.4173
Ep: 7, Reward: -70.4581, Avg: -70.4224
Ep: 8, Reward: -50.5822, Avg: -68.2180
Ep: 9, Reward: -51.1754, Avg: -66.5137
Ep: 10, Reward: -9.1058, Avg: -61.2948
Ep: 11, Reward: 11.6096, Avg: -55.2194
Ep: 12, Reward: 75.4720, Avg: -45.1662
Ep: 13, Reward: 135.1855, Avg: -32.2840
Ep: 14, Reward: 181.7018, Avg: -18.0183
Ep: 15, Reward: 217.7450, Avg: -3.2831
Ep: 16, Reward: 303.0920, Avg: 14.7390
Ep: 17, Reward: 456.3767, Avg: 39.2744
Ep: 18, Reward: 424.7259, Avg: 59.5614
Ep: 19, Reward: 466.0517, Avg: 79.8859
Ep: 20, Reward: 485.5011, Avg: 99.2009
Ep: 21, Reward: 621.0157, Avg: 122.9197
Ep: 22, Reward: 689.7059, Avg: 147.5626
Ep: 23, Reward: 567.0437, Avg: 165.0410
Ep: 24, Reward: 548.0038, Avg: 180.3595
Ep: 25, Reward: 521.7853, Avg: 193.4913
Ep: 26, Reward: 648.3306, Avg: 210.3372
Ep: 27, Reward: 534.5929, Avg: 221.9177
Ep: 28, Reward: 403.5998, Avg: 228.1826
Ep: 29, Reward: 380.4475, Avg: 233.2581
Ep: 30, Reward: 315.5970, Avg: 235.9142
Ep: 31, Reward: 288.7499, Avg: 237.5653
Ep: 32, Reward: 299.7787, Avg: 239.4506
Ep: 33, Reward: 330.9566, Avg: 242.1419
Ep: 34, Reward: 306.0194, Avg: 243.9670
Ep: 35, Reward: 262.6135, Avg: 244.4850
Ep: 36, Reward: 418.7528, Avg: 249.1949
Ep: 37, Reward: 332.9725, Avg: 251.3996
Ep: 38, Reward: 223.8853, Avg: 250.6941
Ep: 39, Reward: 166.9683, Avg: 248.6009
Ep: 40, Reward: 340.2802, Avg: 250.8370
Ep: 41, Reward: 325.0152, Avg: 252.6032
Ep: 42, Reward: 344.4340, Avg: 254.7388
Ep: 43, Reward: 331.5597, Avg: 256.4847
Ep: 44, Reward: 301.0411, Avg: 257.4748
Ep: 45, Reward: 430.0755, Avg: 261.2270
Ep: 46, Reward: 464.9683, Avg: 265.5619
Ep: 47, Reward: 270.6251, Avg: 265.6674
Ep: 48, Reward: 424.9665, Avg: 268.9184
Ep: 49, Reward: 322.2821, Avg: 269.9857
Ep: 50, Reward: 273.6654, Avg: 270.0579
