Agent: ppo, Model: <class 'utils.envs.ImgStack'>, State: [64, 64, 2], Dir: pytorch
Ep: 0, Reward: -25.0294, Test: -23.3900, Avg: -23.3900
Ep: 1, Reward: -24.6275, Test: -39.2864, Avg: -31.3382
Ep: 2, Reward: -30.2111, Test: -37.1842, Avg: -33.2869
Ep: 3, Reward: -37.7984, Test: -42.8444, Avg: -35.6762
Ep: 4, Reward: -43.0987, Test: -30.7852, Avg: -34.6980
Ep: 5, Reward: -17.4717, Test: -37.8264, Avg: -35.2194
Ep: 6, Reward: -32.9420, Test: -27.1959, Avg: -34.0732
Ep: 7, Reward: -32.7181, Test: -15.6797, Avg: -31.7740
Ep: 8, Reward: -31.6965, Test: -51.4998, Avg: -33.9658
Ep: 9, Reward: -43.6614, Test: -43.3604, Avg: -34.9052
Ep: 10, Reward: -34.8218, Test: -47.6780, Avg: -36.0664
Ep: 11, Reward: -47.7025, Test: -62.0276, Avg: -38.2298
Ep: 12, Reward: -56.1048, Test: -59.4262, Avg: -39.8603
Ep: 13, Reward: -49.2810, Test: -29.4872, Avg: -39.1194
Ep: 14, Reward: -42.6616, Test: -49.2976, Avg: -39.7979
Ep: 15, Reward: -32.6537, Test: -29.5875, Avg: -39.1598
Ep: 16, Reward: -40.2327, Test: -28.9771, Avg: -38.5608
Ep: 17, Reward: -58.2045, Test: -65.9217, Avg: -40.0809
Ep: 18, Reward: -65.5140, Test: -74.0932, Avg: -41.8710
Ep: 19, Reward: -71.3383, Test: -67.9428, Avg: -43.1746
Ep: 20, Reward: -68.8400, Test: -70.4277, Avg: -44.4723
Ep: 21, Reward: -66.6896, Test: -65.1751, Avg: -45.4134
Ep: 22, Reward: -58.3980, Test: -73.2819, Avg: -46.6251
Ep: 23, Reward: -71.0206, Test: -66.9115, Avg: -47.4703
Ep: 24, Reward: -61.2838, Test: -63.8843, Avg: -48.1269
Ep: 25, Reward: -64.9915, Test: -63.1824, Avg: -48.7059
Ep: 26, Reward: -64.9758, Test: -70.0622, Avg: -49.4969
Ep: 27, Reward: -70.4082, Test: -65.8956, Avg: -50.0826
Ep: 28, Reward: -61.6128, Test: -49.8789, Avg: -50.0756
Ep: 29, Reward: -63.7404, Test: -61.9545, Avg: -50.4715
Ep: 30, Reward: -40.8977, Test: -47.3167, Avg: -50.3698
Ep: 31, Reward: -55.6944, Test: -49.8778, Avg: -50.3544
Ep: 32, Reward: -52.9746, Test: -59.5038, Avg: -50.6316
Ep: 33, Reward: -49.9749, Test: -68.8804, Avg: -51.1684
Ep: 34, Reward: -57.0480, Test: -71.6307, Avg: -51.7530
Ep: 35, Reward: -62.4298, Test: -59.3347, Avg: -51.9636
Ep: 36, Reward: -56.8909, Test: -64.5606, Avg: -52.3041
Ep: 37, Reward: -58.5583, Test: -47.0810, Avg: -52.1666
Ep: 38, Reward: -63.9049, Test: -68.4094, Avg: -52.5831
Ep: 39, Reward: -61.4375, Test: -63.1663, Avg: -52.8477
Ep: 40, Reward: -63.6378, Test: -68.3511, Avg: -53.2258
Ep: 41, Reward: -59.7116, Test: -63.8835, Avg: -53.4796
Ep: 42, Reward: -67.3822, Test: -60.6657, Avg: -53.6467
Ep: 43, Reward: -66.2191, Test: -42.7317, Avg: -53.3986
Ep: 44, Reward: -69.0872, Test: -41.6035, Avg: -53.1365
Ep: 45, Reward: -57.0987, Test: -55.0096, Avg: -53.1772
Ep: 46, Reward: -61.4424, Test: -50.8026, Avg: -53.1267
Ep: 47, Reward: -62.4607, Test: -73.3872, Avg: -53.5488
Ep: 48, Reward: -58.6523, Test: -54.1801, Avg: -53.5617
Ep: 49, Reward: -65.2009, Test: -55.4736, Avg: -53.5999
Ep: 50, Reward: -66.6403, Test: -53.6383, Avg: -53.6007
Ep: 51, Reward: -56.5946, Test: -41.9622, Avg: -53.3769
Ep: 52, Reward: -53.4266, Test: -55.5309, Avg: -53.4175
Ep: 53, Reward: -65.5316, Test: -56.9637, Avg: -53.4832
Ep: 54, Reward: -61.6304, Test: -47.7884, Avg: -53.3796
Ep: 55, Reward: -63.2173, Test: -69.2610, Avg: -53.6632
Ep: 56, Reward: -65.8440, Test: -78.5398, Avg: -54.0997
Ep: 57, Reward: -71.0847, Test: -59.0681, Avg: -54.1853
Ep: 58, Reward: -67.8882, Test: -62.3281, Avg: -54.3233
Ep: 59, Reward: -68.9009, Test: -63.2710, Avg: -54.4725
Ep: 60, Reward: -60.4196, Test: -70.0987, Avg: -54.7286
Ep: 61, Reward: -69.4216, Test: -66.5420, Avg: -54.9192
Ep: 62, Reward: -61.9995, Test: -62.5037, Avg: -55.0395
Ep: 63, Reward: -59.4759, Test: -72.0218, Avg: -55.3049
Ep: 64, Reward: -64.5050, Test: -71.3438, Avg: -55.5516
Ep: 65, Reward: -66.8150, Test: -66.0980, Avg: -55.7114
Ep: 66, Reward: -69.2973, Test: -70.2970, Avg: -55.9291
Ep: 67, Reward: -68.1850, Test: -71.0763, Avg: -56.1519
Ep: 68, Reward: -66.7602, Test: -78.1050, Avg: -56.4701
Ep: 69, Reward: -63.7084, Test: -69.8880, Avg: -56.6617
Ep: 70, Reward: -63.6340, Test: -63.9440, Avg: -56.7643
Ep: 71, Reward: -56.0586, Test: -62.8109, Avg: -56.8483
Ep: 72, Reward: -62.0476, Test: -59.2999, Avg: -56.8819
Ep: 73, Reward: -64.1510, Test: -66.0182, Avg: -57.0053
Ep: 74, Reward: -66.5786, Test: -65.9923, Avg: -57.1252
Ep: 75, Reward: -60.9990, Test: -71.7836, Avg: -57.3180
Ep: 76, Reward: -55.4388, Test: -63.0316, Avg: -57.3922
Ep: 77, Reward: -59.1910, Test: -62.7400, Avg: -57.4608
Ep: 78, Reward: -56.2664, Test: -70.6400, Avg: -57.6276
Ep: 79, Reward: -64.8060, Test: -58.8810, Avg: -57.6433
Ep: 80, Reward: -67.2893, Test: -63.8262, Avg: -57.7196
Ep: 81, Reward: -64.1616, Test: -63.8698, Avg: -57.7946
Ep: 82, Reward: -59.2304, Test: -64.1145, Avg: -57.8708
Ep: 83, Reward: -51.5864, Test: -67.4689, Avg: -57.9850
Ep: 84, Reward: -60.8833, Test: -59.8577, Avg: -58.0071
Ep: 85, Reward: -55.6336, Test: -59.8037, Avg: -58.0280
Ep: 86, Reward: -50.2149, Test: -49.2852, Avg: -57.9275
Ep: 87, Reward: -48.6795, Test: -51.4473, Avg: -57.8538
Ep: 88, Reward: -63.1530, Test: -28.6275, Avg: -57.5254
Ep: 89, Reward: -51.9254, Test: -57.8047, Avg: -57.5285
Ep: 90, Reward: -42.6720, Test: -60.9906, Avg: -57.5666
Ep: 91, Reward: -58.2468, Test: -60.5530, Avg: -57.5990
Ep: 92, Reward: -51.2679, Test: -55.5545, Avg: -57.5771
Ep: 93, Reward: -57.1630, Test: -35.0083, Avg: -57.3370
Ep: 94, Reward: -47.2936, Test: -58.6721, Avg: -57.3510
Ep: 95, Reward: -48.6523, Test: -40.6912, Avg: -57.1775
Ep: 96, Reward: -63.4418, Test: -42.9045, Avg: -57.0303
Ep: 97, Reward: -49.9469, Test: -43.2288, Avg: -56.8895
Ep: 98, Reward: -42.4317, Test: -70.1779, Avg: -57.0237
Ep: 99, Reward: -54.0544, Test: -74.2782, Avg: -57.1963
Ep: 100, Reward: -70.0894, Test: -56.5847, Avg: -57.5282
Ep: 101, Reward: -65.7106, Test: -66.5025, Avg: -57.8004
Ep: 102, Reward: -59.4710, Test: -63.0709, Avg: -58.0593
Ep: 103, Reward: -65.1206, Test: -59.0743, Avg: -58.2215
Ep: 104, Reward: -54.7333, Test: -59.0593, Avg: -58.5043
Ep: 105, Reward: -48.0849, Test: -65.9928, Avg: -58.7860
Ep: 106, Reward: -59.2712, Test: -63.1163, Avg: -59.1452
