Agent: ppo, Model: <class 'utils.envs.ImgStack'>, State: [64, 64, 2], Dir: pytorch
Ep: 87, Reward: -49.8880, Test: -21.5340, Avg: -43.9122
Ep: 88, Reward: -36.5090, Test: -69.0911, Avg: -44.1951
Ep: 89, Reward: -52.0493, Test: -38.0651, Avg: -44.1270
Ep: 90, Reward: -31.3659, Test: -57.3724, Avg: -44.2726
Ep: 91, Reward: -34.0663, Test: -54.0189, Avg: -44.3785
Ep: 92, Reward: -44.4034, Test: -63.7860, Avg: -44.5872
Ep: 93, Reward: -38.2641, Test: -53.4471, Avg: -44.6814
Ep: 94, Reward: -39.5411, Test: -50.0677, Avg: -44.7381
Ep: 95, Reward: -52.5829, Test: -54.4418, Avg: -44.8392
Ep: 96, Reward: -54.2676, Test: -65.5333, Avg: -45.0526
Ep: 97, Reward: -52.0018, Test: -40.9112, Avg: -45.0103
Ep: 98, Reward: -30.9161, Test: -23.3377, Avg: -44.7914
Ep: 99, Reward: -23.3032, Test: -23.7056, Avg: -44.5805
Ep: 100, Reward: -21.7423, Test: -43.2278, Avg: -44.8105
Ep: 101, Reward: -31.2795, Test: -12.7634, Avg: -44.6816
Ep: 102, Reward: -19.6300, Test: -14.3963, Avg: -44.6044
Ep: 103, Reward: -40.2176, Test: -33.2403, Avg: -44.6594
Ep: 104, Reward: -41.1438, Test: -51.3340, Avg: -44.8695
Ep: 105, Reward: -26.6763, Test: -42.5891, Avg: -44.9401
Ep: 106, Reward: -37.3402, Test: -44.4648, Avg: -45.0834
Ep: 107, Reward: -30.6428, Test: -16.0959, Avg: -44.9136
Ep: 108, Reward: -45.9307, Test: -18.8209, Avg: -44.5518
Ep: 109, Reward: -43.2155, Test: -25.5652, Avg: -44.4482
Ep: 110, Reward: -45.9810, Test: -20.2812, Avg: -44.1662
Ep: 111, Reward: -17.0327, Test: -24.9778, Avg: -43.8417
Ep: 112, Reward: -37.6557, Test: -15.0273, Avg: -43.6792
Ep: 113, Reward: -25.2900, Test: -19.4354, Avg: -43.1710
Ep: 114, Reward: -27.5075, Test: -20.6772, Avg: -43.0049
Ep: 115, Reward: -4.7615, Test: -33.4622, Avg: -42.8938
Ep: 116, Reward: -21.1190, Test: 19.5368, Avg: -42.0793
Ep: 117, Reward: -24.3811, Test: 1.8731, Avg: -41.9681
Ep: 118, Reward: -22.4867, Test: -38.5773, Avg: -41.6180
Ep: 119, Reward: -23.1960, Test: -37.8592, Avg: -41.2203
Ep: 120, Reward: -27.7820, Test: -19.1903, Avg: -41.3086
Ep: 121, Reward: -17.9729, Test: 1.0400, Avg: -40.8728
Ep: 122, Reward: -13.2833, Test: -41.9669, Avg: -40.7627
Ep: 123, Reward: -32.5043, Test: -18.6807, Avg: -40.6274
Ep: 124, Reward: -39.3375, Test: -21.2485, Avg: -40.3956
Ep: 125, Reward: -23.4132, Test: -10.4026, Avg: -40.1060
Ep: 126, Reward: -16.2754, Test: -25.2052, Avg: -39.8171
Ep: 127, Reward: -33.4852, Test: -2.4878, Avg: -39.4327
Ep: 128, Reward: -22.3447, Test: -10.1306, Avg: -38.9555
Ep: 129, Reward: -10.9590, Test: -18.3202, Avg: -38.5385
Ep: 130, Reward: -22.4948, Test: -20.8311, Avg: -38.0351
Ep: 131, Reward: 4.6621, Test: 12.4027, Avg: -37.2763
Ep: 132, Reward: -11.8716, Test: 2.7978, Avg: -36.6493
Ep: 133, Reward: -12.9392, Test: -6.0563, Avg: -36.2103
Ep: 134, Reward: 2.5640, Test: -23.7180, Avg: -35.9020
Ep: 135, Reward: 11.4261, Test: -3.7221, Avg: -35.2815
Ep: 136, Reward: -2.8546, Test: 28.6491, Avg: -34.4606
Ep: 137, Reward: -8.2662, Test: 40.0056, Avg: -33.6559
Ep: 138, Reward: -7.9850, Test: -1.4176, Avg: -33.1526
Ep: 139, Reward: -14.4125, Test: 36.0876, Avg: -32.2857
Ep: 140, Reward: 20.4196, Test: 17.7826, Avg: -31.5348
Ep: 141, Reward: -9.1802, Test: -4.4111, Avg: -31.1223
Ep: 142, Reward: -17.1148, Test: -21.3089, Avg: -30.8819
Ep: 143, Reward: 2.0743, Test: -36.2015, Avg: -30.8787
Ep: 144, Reward: -10.4023, Test: -17.7014, Avg: -30.5036
Ep: 145, Reward: 1.5005, Test: -23.8818, Avg: -30.4703
Ep: 146, Reward: -3.0620, Test: 0.6023, Avg: -29.9088
Ep: 147, Reward: 8.8350, Test: -11.1817, Avg: -29.4438
Ep: 148, Reward: 25.6273, Test: 23.6521, Avg: -28.9262
Ep: 149, Reward: 24.8279, Test: 33.4994, Avg: -28.1369
Ep: 150, Reward: 56.5475, Test: -0.6640, Avg: -27.8530
Ep: 151, Reward: 77.8428, Test: 9.7548, Avg: -27.2268
Ep: 152, Reward: 52.5194, Test: 94.8714, Avg: -26.0911
