Agent: ppo, Model: <class 'utils.envs.ImgStack'>, State: [64, 64, 2], Dir: pytorch
Ep: 0, Reward: -30.5148, Test: -32.8156, Avg: -32.8156
Ep: 1, Reward: -27.7557, Test: -13.1747, Avg: -22.9952
Ep: 2, Reward: -18.3529, Test: -13.3241, Avg: -19.7715
Ep: 3, Reward: -29.4465, Test: -37.1121, Avg: -24.1066
Ep: 4, Reward: -51.3531, Test: -39.4846, Avg: -27.1822
Ep: 5, Reward: -55.4126, Test: -50.1093, Avg: -31.0034
Ep: 6, Reward: -44.9438, Test: -48.6834, Avg: -33.5291
Ep: 7, Reward: -41.7475, Test: -29.8135, Avg: -33.0647
Ep: 8, Reward: -33.8978, Test: -54.4549, Avg: -35.4414
Ep: 9, Reward: -53.6521, Test: -61.2506, Avg: -38.0223
Ep: 10, Reward: -63.8698, Test: -39.2954, Avg: -38.1380
Ep: 11, Reward: -48.5399, Test: -42.6001, Avg: -38.5099
Ep: 12, Reward: -38.9864, Test: -44.0275, Avg: -38.9343
Ep: 13, Reward: -48.3128, Test: -60.6525, Avg: -40.4856
Ep: 14, Reward: -48.2178, Test: -43.1656, Avg: -40.6643
Ep: 15, Reward: -48.0939, Test: -41.6754, Avg: -40.7275
Ep: 16, Reward: -49.5905, Test: -46.7770, Avg: -41.0833
Ep: 17, Reward: -39.2261, Test: -46.3334, Avg: -41.3750
Ep: 18, Reward: -49.1297, Test: -63.7853, Avg: -42.5545
Ep: 19, Reward: -60.6482, Test: -57.6108, Avg: -43.3073
Ep: 20, Reward: -59.3945, Test: -59.8790, Avg: -44.0964
Ep: 21, Reward: -58.5306, Test: -62.0536, Avg: -44.9127
Ep: 22, Reward: -65.9675, Test: -69.8510, Avg: -45.9969
Ep: 23, Reward: -53.7665, Test: -56.4710, Avg: -46.4334
Ep: 24, Reward: -57.8250, Test: -70.3020, Avg: -47.3881
Ep: 25, Reward: -62.4969, Test: -57.2407, Avg: -47.7671
Ep: 26, Reward: -60.6044, Test: -52.9885, Avg: -47.9604
Ep: 27, Reward: -58.0781, Test: -64.1270, Avg: -48.5378
Ep: 28, Reward: -52.9708, Test: -68.6422, Avg: -49.2311
Ep: 29, Reward: -68.6361, Test: -66.1453, Avg: -49.7949
Ep: 30, Reward: -68.9661, Test: -74.3919, Avg: -50.5883
Ep: 31, Reward: -69.4470, Test: -68.0876, Avg: -51.1352
Ep: 32, Reward: -68.5100, Test: -64.6636, Avg: -51.5451
Ep: 33, Reward: -62.5964, Test: -57.8209, Avg: -51.7297
Ep: 34, Reward: -64.6701, Test: -63.3385, Avg: -52.0614
Ep: 35, Reward: -62.9487, Test: -56.9019, Avg: -52.1959
Ep: 36, Reward: -66.8644, Test: -73.9061, Avg: -52.7826
