Ep: 0, Reward: -63.3403, Avg: -63.3403
Ep: 1, Reward: 0.0000, Avg: -31.6701
Ep: 2, Reward: 0.0000, Avg: -21.1134
Ep: 3, Reward: 0.0000, Avg: -15.8351
Ep: 4, Reward: 0.0000, Avg: -12.6681
Ep: 5, Reward: 0.0000, Avg: -10.5567
Ep: 6, Reward: 0.0000, Avg: -9.0486
Ep: 7, Reward: 0.0000, Avg: -7.9175
Ep: 8, Reward: 0.0000, Avg: -7.0378
Ep: 9, Reward: 0.0000, Avg: -6.3340
Ep: 10, Reward: 0.0000, Avg: -5.7582
Ep: 11, Reward: 0.0000, Avg: -5.2784
Ep: 12, Reward: 0.0000, Avg: -4.8723
Ep: 13, Reward: 0.0000, Avg: -4.5243
Ep: 14, Reward: 0.0000, Avg: -4.2227
Ep: 15, Reward: 0.0000, Avg: -3.9588
Ep: 16, Reward: 0.0000, Avg: -3.7259
Ep: 17, Reward: 0.0000, Avg: -3.5189
Ep: 18, Reward: 0.0000, Avg: -3.3337
Ep: 19, Reward: 0.0000, Avg: -3.1670
Ep: 20, Reward: 0.0000, Avg: -3.0162
Ep: 21, Reward: 0.0000, Avg: -2.8791
Ep: 22, Reward: 0.0000, Avg: -2.7539
Ep: 23, Reward: 0.0000, Avg: -2.6392
Ep: 24, Reward: 0.0000, Avg: -2.5336
Ep: 25, Reward: 0.0000, Avg: -2.4362
Ep: 26, Reward: 0.0000, Avg: -2.3459
Ep: 27, Reward: 0.0000, Avg: -2.2622
Ep: 28, Reward: 0.0000, Avg: -2.1841
Ep: 29, Reward: 0.0000, Avg: -2.1113
Ep: 30, Reward: 0.0000, Avg: -2.0432
Ep: 31, Reward: 0.0000, Avg: -1.9794
Ep: 32, Reward: 0.0000, Avg: -1.9194
Ep: 33, Reward: 0.0000, Avg: -1.8629
Ep: 34, Reward: 0.0000, Avg: -1.8097
Ep: 35, Reward: 0.0000, Avg: -1.7595
Ep: 36, Reward: 0.0000, Avg: -1.7119
Ep: 37, Reward: 0.0000, Avg: -1.6668
Ep: 38, Reward: 0.0000, Avg: -1.6241
Ep: 39, Reward: 0.0000, Avg: -1.5835
Ep: 40, Reward: 0.0000, Avg: -1.5449
Ep: 41, Reward: 0.0000, Avg: -1.5081
Ep: 42, Reward: 0.0000, Avg: -1.4730
Ep: 43, Reward: 0.0000, Avg: -1.4396
Ep: 44, Reward: 0.0000, Avg: -1.4076
Ep: 45, Reward: 0.0000, Avg: -1.3770
Ep: 46, Reward: 0.0000, Avg: -1.3477
Ep: 47, Reward: 0.0000, Avg: -1.3196
Ep: 48, Reward: 0.0000, Avg: -1.2927
Ep: 49, Reward: 0.0000, Avg: -1.2668
Ep: 50, Reward: 0.0000, Avg: -1.2420
Ep: 51, Reward: 0.0000, Avg: -1.2181
Ep: 52, Reward: 0.0000, Avg: -1.1951
Ep: 53, Reward: 0.0000, Avg: -1.1730
Ep: 54, Reward: 0.0000, Avg: -1.1516
Ep: 55, Reward: 0.0000, Avg: -1.1311
Ep: 56, Reward: 0.0000, Avg: -1.1112
Ep: 57, Reward: 0.0000, Avg: -1.0921
Ep: 58, Reward: 0.0000, Avg: -1.0736
Ep: 59, Reward: 0.0000, Avg: -1.0557
Ep: 60, Reward: 0.0000, Avg: -1.0384
Ep: 61, Reward: 0.0000, Avg: -1.0216
Ep: 62, Reward: 0.0000, Avg: -1.0054
Ep: 63, Reward: 0.0000, Avg: -0.9897
Ep: 64, Reward: 0.0000, Avg: -0.9745
Ep: 65, Reward: 0.0000, Avg: -0.9597
Ep: 66, Reward: 0.0000, Avg: -0.9454
Ep: 67, Reward: 0.0000, Avg: -0.9315
Ep: 68, Reward: 0.0000, Avg: -0.9180
Ep: 69, Reward: 0.0000, Avg: -0.9049
Ep: 70, Reward: 0.0000, Avg: -0.8921
Ep: 71, Reward: 0.0000, Avg: -0.8797
Ep: 72, Reward: 0.0000, Avg: -0.8677
Ep: 73, Reward: 0.0000, Avg: -0.8559
Ep: 74, Reward: 0.0000, Avg: -0.8445
Ep: 75, Reward: 0.0000, Avg: -0.8334
Ep: 76, Reward: 0.0000, Avg: -0.8226
Ep: 77, Reward: 0.0000, Avg: -0.8121
Ep: 78, Reward: 0.0000, Avg: -0.8018
Ep: 79, Reward: 0.0000, Avg: -0.7918
Ep: 80, Reward: 0.0000, Avg: -0.7820
Ep: 81, Reward: 0.0000, Avg: -0.7724
Ep: 82, Reward: 0.0000, Avg: -0.7631
Ep: 83, Reward: 0.0000, Avg: -0.7541
Ep: 84, Reward: 0.0000, Avg: -0.7452
Ep: 85, Reward: 0.0000, Avg: -0.7365
Ep: 86, Reward: 0.0000, Avg: -0.7280
Ep: 87, Reward: 0.0000, Avg: -0.7198
Ep: 88, Reward: 0.0000, Avg: -0.7117
Ep: 89, Reward: 0.0000, Avg: -0.7038
Ep: 90, Reward: 0.0000, Avg: -0.6960
Ep: 91, Reward: 0.0000, Avg: -0.6885
Ep: 92, Reward: 0.0000, Avg: -0.6811
Ep: 93, Reward: 0.0000, Avg: -0.6738
Ep: 94, Reward: 0.0000, Avg: -0.6667
Ep: 95, Reward: 0.0000, Avg: -0.6598
Ep: 96, Reward: 0.0000, Avg: -0.6530
Ep: 97, Reward: 0.0000, Avg: -0.6463
Ep: 98, Reward: 0.0000, Avg: -0.6398
Ep: 99, Reward: 0.0000, Avg: -0.6334
Ep: 100, Reward: 0.0000, Avg: 0.0000
Ep: 101, Reward: 0.0000, Avg: 0.0000
Ep: 102, Reward: 0.0000, Avg: 0.0000
Ep: 103, Reward: 0.0000, Avg: 0.0000
Ep: 104, Reward: 0.0000, Avg: 0.0000
Ep: 105, Reward: 0.0000, Avg: 0.0000
Ep: 106, Reward: 0.0000, Avg: 0.0000
Ep: 107, Reward: 0.0000, Avg: 0.0000
Ep: 108, Reward: 0.0000, Avg: 0.0000
Ep: 109, Reward: 0.0000, Avg: 0.0000
Ep: 110, Reward: 0.0000, Avg: 0.0000
Ep: 111, Reward: 0.0000, Avg: 0.0000
Ep: 112, Reward: 0.0000, Avg: 0.0000
Ep: 113, Reward: 0.0000, Avg: 0.0000
Ep: 114, Reward: 0.0000, Avg: 0.0000
Ep: 115, Reward: 0.0000, Avg: 0.0000
Ep: 116, Reward: 0.0000, Avg: 0.0000
Ep: 117, Reward: 0.0000, Avg: 0.0000
Ep: 118, Reward: 0.0000, Avg: 0.0000
Ep: 119, Reward: 0.0000, Avg: 0.0000
Ep: 120, Reward: 0.0000, Avg: 0.0000
Ep: 121, Reward: 0.0000, Avg: 0.0000
Ep: 122, Reward: 0.0000, Avg: 0.0000
Ep: 123, Reward: 0.0000, Avg: 0.0000
Ep: 124, Reward: 0.0000, Avg: 0.0000
Ep: 125, Reward: 0.0000, Avg: 0.0000
Ep: 126, Reward: 0.0000, Avg: 0.0000
Ep: 127, Reward: 0.0000, Avg: 0.0000
Ep: 128, Reward: 0.0000, Avg: 0.0000
Ep: 129, Reward: 0.0000, Avg: 0.0000
Ep: 130, Reward: 0.0000, Avg: 0.0000
Ep: 131, Reward: 0.0000, Avg: 0.0000
