Agent: ddpg, Model: <class 'utils.envs.WorldModel'>, State: [288], Dir: iter1/
Ep: 0, Reward: -70.8768, Test: -82.2889, Avg: -82.2889
Ep: 1, Reward: -79.7054, Test: -83.8032, Avg: -83.0460
Ep: 2, Reward: -76.0277, Test: -78.9173, Avg: -81.6698
Ep: 3, Reward: -49.6140, Test: -81.5528, Avg: -81.6405
Ep: 4, Reward: -79.2831, Test: -81.5529, Avg: -81.6230
Ep: 5, Reward: -29.5115, Test: -71.1878, Avg: -79.8838
Ep: 6, Reward: -63.9900, Test: -70.8130, Avg: -78.5880
Ep: 7, Reward: -65.9997, Test: -56.1020, Avg: -75.7772
Ep: 8, Reward: -76.4125, Test: -77.3373, Avg: -75.9506
Ep: 9, Reward: -73.8113, Test: -96.5041, Avg: -78.0059
Ep: 10, Reward: -76.0276, Test: -58.4893, Avg: -76.2317
Ep: 11, Reward: -45.1291, Test: -69.9326, Avg: -75.7068
Ep: 12, Reward: -75.9484, Test: -74.5223, Avg: -75.6157
Ep: 13, Reward: -68.1470, Test: -78.2111, Avg: -75.8010
Ep: 14, Reward: -70.4484, Test: -84.0993, Avg: -76.3543
Ep: 15, Reward: -60.6878, Test: -83.5145, Avg: -76.8018
Ep: 16, Reward: -50.8653, Test: -84.4105, Avg: -77.2493
Ep: 17, Reward: -153.6685, Test: -82.8527, Avg: -77.5606
Ep: 18, Reward: -68.5725, Test: -80.1299, Avg: -77.6959
Ep: 19, Reward: -54.5071, Test: -83.3351, Avg: -77.9778
Ep: 20, Reward: -55.6276, Test: -83.3176, Avg: -78.2321
Ep: 21, Reward: -55.6396, Test: -78.9507, Avg: -78.2648
Ep: 22, Reward: -23.0904, Test: -81.1441, Avg: -78.3900
Ep: 23, Reward: -55.0874, Test: -80.4727, Avg: -78.4767
Ep: 24, Reward: -37.4109, Test: -79.1848, Avg: -78.5051
Ep: 25, Reward: -49.1957, Test: -54.7304, Avg: -77.5906
Ep: 26, Reward: -34.6074, Test: 43.4326, Avg: -73.1083
Ep: 27, Reward: 2.1200, Test: 28.3018, Avg: -69.4865
Ep: 28, Reward: 0.8857, Test: 16.3165, Avg: -66.5278
Ep: 29, Reward: -8.1347, Test: 51.0242, Avg: -62.6094
Ep: 30, Reward: -52.0659, Test: -22.9963, Avg: -61.3316
Ep: 31, Reward: 28.2127, Test: 218.7054, Avg: -52.5804
Ep: 32, Reward: -1.4838, Test: 36.2622, Avg: -49.8882
Ep: 33, Reward: 103.0640, Test: 441.7340, Avg: -35.4287
Ep: 34, Reward: 31.5278, Test: 111.4526, Avg: -31.2321
Ep: 35, Reward: 30.5819, Test: 175.7893, Avg: -25.4815
Ep: 36, Reward: 163.2163, Test: 476.5713, Avg: -11.9125
Ep: 37, Reward: 61.3479, Test: 441.9336, Avg: 0.0308
Ep: 38, Reward: 108.1114, Test: 395.7181, Avg: 10.1766
Ep: 39, Reward: 266.2716, Test: 504.3764, Avg: 22.5316
Ep: 40, Reward: 359.8676, Test: 310.3762, Avg: 29.5522
Ep: 41, Reward: 331.5142, Test: 249.0867, Avg: 34.7792
Ep: 42, Reward: 182.3144, Test: 356.1052, Avg: 42.2519
Ep: 43, Reward: 342.8392, Test: 178.8618, Avg: 45.3567
Ep: 44, Reward: 292.5641, Test: 352.2327, Avg: 52.1762
Ep: 45, Reward: 214.0234, Test: 254.4064, Avg: 56.5725
Ep: 46, Reward: 239.7429, Test: 146.6422, Avg: 58.4889
Ep: 47, Reward: 59.8871, Test: 128.7175, Avg: 59.9519
Ep: 48, Reward: 142.4104, Test: 23.6261, Avg: 59.2106
Ep: 49, Reward: 134.8618, Test: -5.6646, Avg: 57.9131
Ep: 50, Reward: 31.4651, Test: -29.7608, Avg: 56.1940
Ep: 51, Reward: -7.4631, Test: -5.8202, Avg: 55.0014
Ep: 52, Reward: 37.4157, Test: 58.6851, Avg: 55.0709
Ep: 53, Reward: 18.2608, Test: -8.8931, Avg: 53.8864
Ep: 54, Reward: -25.1212, Test: 46.3929, Avg: 53.7502
Ep: 55, Reward: 6.9745, Test: 56.1897, Avg: 53.7937
Ep: 56, Reward: 97.7931, Test: 117.9630, Avg: 54.9195
Ep: 57, Reward: 88.6463, Test: 2.1838, Avg: 54.0103
Ep: 58, Reward: 66.2588, Test: 74.0729, Avg: 54.3503
