Ep: 0, Reward: -53.7172, Test: -41.5056, Avg: -41.5056
Ep: 1, Reward: -63.8869, Test: -64.0880, Avg: -52.7968
Ep: 2, Reward: -47.3558, Test: -45.7331, Avg: -50.4422
Ep: 3, Reward: -65.2323, Test: -57.5363, Avg: -52.2157
Ep: 4, Reward: -79.5259, Test: -48.2441, Avg: -51.4214
Ep: 5, Reward: -29.5136, Test: -62.6331, Avg: -53.2900
Ep: 6, Reward: -63.1111, Test: -49.5530, Avg: -52.7562
Ep: 7, Reward: -50.5015, Test: -53.0645, Avg: -52.7947
Ep: 8, Reward: -50.1111, Test: -55.3217, Avg: -53.0755
Ep: 9, Reward: -66.9082, Test: -64.9237, Avg: -54.2603
Ep: 10, Reward: -17.9181, Test: -53.4976, Avg: -54.1910
Ep: 11, Reward: -75.8636, Test: -45.6173, Avg: -53.4765
Ep: 12, Reward: -69.5877, Test: -47.3469, Avg: -53.0050
Ep: 13, Reward: -41.1949, Test: -62.5518, Avg: -53.6869
Ep: 14, Reward: -79.1253, Test: -54.7900, Avg: -53.7604
Ep: 15, Reward: -114.6820, Test: -56.1101, Avg: -53.9073
Ep: 16, Reward: -61.4430, Test: -56.8109, Avg: -54.0781
Ep: 17, Reward: -41.1690, Test: -61.0774, Avg: -54.4669
Ep: 18, Reward: -49.9300, Test: -58.6101, Avg: -54.6850
Ep: 19, Reward: -61.1172, Test: -64.2038, Avg: -55.1609
Ep: 20, Reward: -62.2694, Test: -48.7319, Avg: -54.8548
Ep: 21, Reward: -47.5646, Test: -61.8350, Avg: -55.1721
Ep: 22, Reward: -59.9016, Test: -48.3095, Avg: -54.8737
Ep: 23, Reward: -69.0594, Test: -62.3952, Avg: -55.1871
Ep: 24, Reward: -54.0030, Test: -57.6202, Avg: -55.2844
Ep: 25, Reward: -60.6043, Test: -42.2305, Avg: -54.7824
Ep: 26, Reward: -35.4143, Test: -79.1663, Avg: -55.6855
Ep: 27, Reward: -59.6126, Test: -57.6769, Avg: -55.7566
Ep: 28, Reward: -49.3017, Test: -51.7219, Avg: -55.6175
Ep: 29, Reward: -54.3241, Test: -49.3101, Avg: -55.4072
Ep: 30, Reward: -68.9426, Test: -59.5931, Avg: -55.5422
Ep: 31, Reward: -32.4089, Test: -45.7092, Avg: -55.2350
Ep: 32, Reward: -49.9653, Test: -30.0393, Avg: -54.4715
Ep: 33, Reward: -109.5089, Test: -69.3940, Avg: -54.9104
Ep: 34, Reward: -52.9994, Test: -24.6378, Avg: -54.0454
Ep: 35, Reward: -18.8568, Test: -48.0814, Avg: -53.8798
Ep: 36, Reward: -45.3046, Test: -55.0142, Avg: -53.9104
Ep: 37, Reward: -5.6984, Test: -20.5198, Avg: -53.0317
Ep: 38, Reward: 58.4207, Test: 28.4383, Avg: -50.9427
Ep: 39, Reward: -6.6676, Test: 24.2692, Avg: -49.0624
Ep: 40, Reward: 53.0129, Test: 44.2074, Avg: -46.7876
Ep: 41, Reward: 72.5198, Test: 31.5065, Avg: -44.9234
Ep: 42, Reward: -19.9351, Test: 26.2934, Avg: -43.2672
Ep: 43, Reward: 77.7991, Test: 105.3579, Avg: -39.8894
Ep: 44, Reward: 55.3851, Test: 22.4254, Avg: -38.5046
Ep: 45, Reward: 95.6066, Test: 131.4081, Avg: -34.8108
