Iteration 0
Ep: 88, Reward: 286.9216, Test: 478.3456, Avg: 117.5290
Ep: 89, Reward: 495.3885, Test: 228.1893, Avg: 118.7585
Ep: 90, Reward: 164.1593, Test: 431.3093, Avg: 122.1931
Ep: 91, Reward: 279.4597, Test: 316.2704, Avg: 124.3027
Ep: 92, Reward: 278.4866, Test: 207.1200, Avg: 125.1932
Ep: 93, Reward: 312.0229, Test: 557.0064, Avg: 129.7869
Ep: 94, Reward: 239.5135, Test: 286.1967, Avg: 131.4334
Ep: 95, Reward: 548.3370, Test: 217.6863, Avg: 132.3318
Ep: 96, Reward: 374.3343, Test: 408.4246, Avg: 135.1782
Ep: 97, Reward: 535.3497, Test: 266.3145, Avg: 136.5163
Ep: 98, Reward: 337.6641, Test: 478.7967, Avg: 139.9737
Ep: 99, Reward: 550.0888, Test: 408.7276, Avg: 142.6612
Ep: 100, Reward: 513.7820, Test: 532.8308, Avg: 148.5052
Ep: 101, Reward: 655.2102, Test: 406.9694, Avg: 153.1167
Ep: 102, Reward: 513.4788, Test: 577.6304, Avg: 159.4010
Ep: 103, Reward: 430.9017, Test: 525.6445, Avg: 165.2624
Ep: 104, Reward: 493.1176, Test: 448.5767, Avg: 170.4703
Ep: 105, Reward: 417.6883, Test: 313.2285, Avg: 174.1235
Ep: 106, Reward: 376.9997, Test: 279.2510, Avg: 177.4894
Ep: 107, Reward: 344.2223, Test: 385.9044, Avg: 181.9519
Ep: 108, Reward: 312.1913, Test: 493.7381, Avg: 187.3828
Ep: 109, Reward: 290.2690, Test: 436.9314, Avg: 192.2459
Ep: 110, Reward: 405.3161, Test: 389.4045, Avg: 196.7870
Ep: 111, Reward: 328.6183, Test: 319.1906, Avg: 200.4306
Ep: 112, Reward: 319.9593, Test: 467.3150, Avg: 205.8437
Ep: 113, Reward: 746.1995, Test: 615.9214, Avg: 212.5385
Ep: 114, Reward: 661.1434, Test: 236.4303, Avg: 215.5595
Ep: 115, Reward: 637.9926, Test: 503.9654, Avg: 220.9674
Ep: 116, Reward: 348.4702, Test: 365.9272, Avg: 225.2887
Ep: 117, Reward: 556.8177, Test: 487.0772, Avg: 230.7017
Ep: 118, Reward: 417.0829, Test: 564.5313, Avg: 236.9135
Ep: 119, Reward: 633.1917, Test: 391.6672, Avg: 241.4535
Ep: 120, Reward: 596.9579, Test: 507.3917, Avg: 247.3190
Ep: 121, Reward: 625.5074, Test: 486.3779, Avg: 252.7909
Ep: 122, Reward: 585.5209, Test: 747.9194, Avg: 260.7426
Ep: 123, Reward: 640.6770, Test: 772.3132, Avg: 269.5224
Ep: 124, Reward: 810.7776, Test: 767.7273, Avg: 277.7869
Ep: 125, Reward: 665.7897, Test: 568.3390, Avg: 283.9716
Ep: 126, Reward: 497.7071, Test: 715.6285, Avg: 291.5724
Ep: 127, Reward: 579.9420, Test: 604.3131, Avg: 298.0431
Ep: 128, Reward: 589.6174, Test: 624.3086, Avg: 304.7579
Ep: 129, Reward: 590.9627, Test: 803.4347, Avg: 313.3597
Ep: 130, Reward: 720.1229, Test: 452.0784, Avg: 318.3338
Ep: 131, Reward: 533.4004, Test: 505.4290, Avg: 323.6493
Ep: 132, Reward: 590.7614, Test: 573.1308, Avg: 329.7974
Ep: 133, Reward: 651.3267, Test: 551.0378, Avg: 335.7051
Ep: 134, Reward: 637.3904, Test: 578.7766, Avg: 341.6272
Ep: 135, Reward: 656.1440, Test: 612.8441, Avg: 347.5974
Ep: 136, Reward: 391.9439, Test: 682.8133, Avg: 353.9996
Ep: 137, Reward: 550.5280, Test: 354.5752, Avg: 357.6365
Ep: 138, Reward: 567.4572, Test: 462.2107, Avg: 361.7015
Ep: 139, Reward: 292.5703, Test: 493.6405, Avg: 366.6450
Ep: 140, Reward: 595.5958, Test: 717.0194, Avg: 373.5823
Ep: 141, Reward: 413.0170, Test: 532.5609, Avg: 378.6108
Ep: 142, Reward: 735.7526, Test: 553.1552, Avg: 384.2773
Ep: 143, Reward: 761.0835, Test: 616.4099, Avg: 390.5094
Ep: 144, Reward: 549.7349, Test: 694.4941, Avg: 395.7741
