Ep: 0, Reward: -58.6207, Avg: -58.6207
Ep: 1, Reward: -80.4469, Avg: -69.5338
Ep: 2, Reward: -64.6643, Avg: -67.9106
Ep: 3, Reward: -48.0969, Avg: -62.9572
Ep: 4, Reward: -56.2500, Avg: -61.6158
Ep: 5, Reward: -60.1329, Avg: -61.3686
Ep: 6, Reward: -57.4468, Avg: -60.8084
Ep: 7, Reward: -69.1120, Avg: -61.8463
Ep: 8, Reward: -40.9722, Avg: -59.5270
Ep: 9, Reward: -42.7481, Avg: -57.8491
Ep: 10, Reward: -79.3510, Avg: -59.8038
Ep: 11, Reward: -31.7507, Avg: -57.4660
Ep: 12, Reward: -65.5172, Avg: -58.0854
Ep: 13, Reward: -48.2759, Avg: -57.3847
Ep: 14, Reward: -54.0636, Avg: -57.1633
Ep: 15, Reward: -79.0210, Avg: -58.5294
Ep: 16, Reward: -20.9486, Avg: -56.3188
Ep: 17, Reward: -72.6962, Avg: -57.2286
Ep: 18, Reward: -56.2500, Avg: -57.1771
Ep: 19, Reward: -78.2609, Avg: -58.2313
Ep: 20, Reward: -65.9091, Avg: -58.5969
Ep: 21, Reward: -28.0000, Avg: -57.2061
Ep: 22, Reward: -37.7289, Avg: -56.3593
Ep: 23, Reward: -65.0794, Avg: -56.7226
Ep: 24, Reward: -31.7406, Avg: -55.7234
Ep: 25, Reward: -68.5315, Avg: -56.2160
Ep: 26, Reward: -43.7500, Avg: -55.7543
Ep: 27, Reward: -58.4775, Avg: -55.8515
Ep: 28, Reward: -52.0295, Avg: -55.7197
Ep: 29, Reward: -66.2921, Avg: -56.0722
Ep: 30, Reward: -65.4179, Avg: -56.3736
Ep: 31, Reward: -65.5172, Avg: -56.6594
Ep: 32, Reward: -38.7097, Avg: -56.1154
Ep: 33, Reward: -71.2230, Avg: -56.5598
Ep: 34, Reward: -67.7419, Avg: -56.8793
Ep: 35, Reward: -30.0699, Avg: -56.1346
Ep: 36, Reward: -61.2676, Avg: -56.2733
Ep: 37, Reward: -68.8581, Avg: -56.6045
Ep: 38, Reward: -69.6970, Avg: -56.9402
Ep: 39, Reward: -23.8411, Avg: -56.1127
Ep: 40, Reward: -35.0181, Avg: -55.5982
Ep: 41, Reward: -13.2075, Avg: -54.5889
Ep: 42, Reward: -40.1408, Avg: -54.2529
Ep: 43, Reward: -50.7042, Avg: -54.1722
Ep: 44, Reward: -64.6643, Avg: -54.4054
Ep: 45, Reward: -70.1987, Avg: -54.7487
Ep: 46, Reward: -30.5556, Avg: -54.2340
Ep: 47, Reward: -35.7143, Avg: -53.8482
Ep: 48, Reward: -70.0375, Avg: -54.1786
Ep: 49, Reward: -67.8457, Avg: -54.4519
Ep: 50, Reward: -24.3986, Avg: -53.8626
Ep: 51, Reward: -81.4126, Avg: -54.3924
Ep: 52, Reward: -28.5714, Avg: -53.9052
Ep: 53, Reward: -75.5352, Avg: -54.3058
Ep: 54, Reward: -63.6364, Avg: -54.4754
Ep: 55, Reward: -42.9429, Avg: -54.2695
Ep: 56, Reward: -49.8328, Avg: -54.1917
Ep: 57, Reward: -33.0986, Avg: -53.8280
Ep: 58, Reward: -59.2593, Avg: -53.9200
Ep: 59, Reward: -69.6970, Avg: -54.1830
Ep: 60, Reward: -41.3919, Avg: -53.9733
Ep: 61, Reward: -46.6192, Avg: -53.8547
Ep: 62, Reward: -55.1282, Avg: -53.8749
Ep: 63, Reward: -10.1563, Avg: -53.1918
Ep: 64, Reward: -45.2055, Avg: -53.0689
Ep: 65, Reward: -77.4920, Avg: -53.4390
Ep: 66, Reward: -51.0490, Avg: -53.4033
Ep: 67, Reward: -76.4310, Avg: -53.7419
Ep: 68, Reward: -59.1837, Avg: -53.8208
Ep: 69, Reward: -77.4920, Avg: -54.1590
Ep: 70, Reward: -64.1577, Avg: -54.2998
Ep: 71, Reward: -0.7353, Avg: -53.5558
Ep: 72, Reward: -83.3887, Avg: -53.9645
Ep: 73, Reward: -5.3628, Avg: -53.3077
Ep: 74, Reward: -68.5315, Avg: -53.5107
Ep: 75, Reward: -26.9231, Avg: -53.1609
Ep: 76, Reward: -56.9892, Avg: -53.2106
Ep: 77, Reward: -78.7234, Avg: -53.5377
Ep: 78, Reward: -33.3333, Avg: -53.2819
Ep: 79, Reward: -33.7979, Avg: -53.0384
Ep: 80, Reward: -34.1693, Avg: -52.8054
Ep: 81, Reward: -76.6667, Avg: -53.0964
Ep: 82, Reward: -72.0280, Avg: -53.3245
Ep: 83, Reward: -25.6757, Avg: -52.9954
Ep: 84, Reward: -71.7314, Avg: -53.2158
Ep: 85, Reward: -57.5290, Avg: -53.2659
Ep: 86, Reward: -48.0519, Avg: -53.2060
Ep: 87, Reward: -56.0811, Avg: -53.2387
Ep: 88, Reward: -57.1984, Avg: -53.2832
Ep: 89, Reward: -36.8771, Avg: -53.1009
Ep: 90, Reward: -17.8571, Avg: -52.7136
Ep: 91, Reward: -54.8611, Avg: -52.7369
Ep: 92, Reward: -27.0833, Avg: -52.4611
Ep: 93, Reward: -17.6030, Avg: -52.0903
Ep: 94, Reward: -33.3333, Avg: -51.8928
Ep: 95, Reward: -60.9610, Avg: -51.9873
Ep: 96, Reward: 17.6471, Avg: -51.2694
Ep: 97, Reward: -25.0000, Avg: -51.0013
Ep: 98, Reward: -50.4950, Avg: -50.9962
Ep: 99, Reward: -58.5987, Avg: -51.0723
Ep: 100, Reward: -55.8360, Avg: -51.0444
Ep: 101, Reward: -32.4324, Avg: -50.5643
Ep: 102, Reward: -33.7539, Avg: -50.2552
Ep: 103, Reward: -29.5302, Avg: -50.0695
Ep: 104, Reward: -10.6529, Avg: -49.6135
Ep: 105, Reward: -76.9737, Avg: -49.7819
Ep: 106, Reward: -25.3731, Avg: -49.4612
Ep: 107, Reward: -70.2602, Avg: -49.4727
Ep: 108, Reward: -33.7539, Avg: -49.4005
Ep: 109, Reward: -33.9623, Avg: -49.3126
Ep: 110, Reward: 11.8881, Avg: -48.4002
Ep: 111, Reward: -69.3878, Avg: -48.7766
Ep: 112, Reward: -16.6667, Avg: -48.2881
Ep: 113, Reward: -37.7163, Avg: -48.1825
Ep: 114, Reward: -81.8841, Avg: -48.4607
Ep: 115, Reward: -56.8106, Avg: -48.2386
Ep: 116, Reward: -30.7692, Avg: -48.3368
Ep: 117, Reward: -34.7079, Avg: -47.9569
Ep: 118, Reward: 3.4483, Avg: -47.3599
Ep: 119, Reward: -20.7921, Avg: -46.7853
Ep: 120, Reward: -14.3836, Avg: -46.2700
Ep: 121, Reward: -46.4286, Avg: -46.4543
Ep: 122, Reward: -53.0201, Avg: -46.6072
Ep: 123, Reward: -12.4088, Avg: -46.0805
Ep: 124, Reward: -30.3136, Avg: -46.0662
Ep: 125, Reward: -47.5806, Avg: -45.8567
Ep: 126, Reward: -66.7897, Avg: -46.0871
Ep: 127, Reward: -17.8571, Avg: -45.6809
Ep: 128, Reward: -39.8734, Avg: -45.5594
Ep: 129, Reward: -39.1026, Avg: -45.2875
Ep: 130, Reward: -82.5175, Avg: -45.4585
Ep: 131, Reward: -49.3243, Avg: -45.2965
Ep: 132, Reward: -31.5961, Avg: -45.2254
Ep: 133, Reward: -59.4096, Avg: -45.1073
Ep: 134, Reward: -26.0700, Avg: -44.6905
Ep: 135, Reward: -153.6282, Avg: -45.9261
Ep: 136, Reward: -30.8176, Avg: -45.6216
Ep: 137, Reward: -21.6418, Avg: -45.1495
Ep: 138, Reward: -58.0645, Avg: -45.0331
Ep: 139, Reward: -36.1022, Avg: -45.1557
Ep: 140, Reward: -16.1290, Avg: -44.9668
Ep: 141, Reward: -43.1818, Avg: -45.2666
Ep: 142, Reward: -66.8874, Avg: -45.5341
Ep: 143, Reward: -28.0822, Avg: -45.3078
Ep: 144, Reward: -31.4079, Avg: -44.9753
Ep: 145, Reward: -32.6599, Avg: -44.5999
Ep: 146, Reward: -24.7312, Avg: -44.5416
Ep: 147, Reward: -23.0769, Avg: -44.4153
Ep: 148, Reward: -58.6466, Avg: -44.3014
Ep: 149, Reward: -39.9293, Avg: -44.0222
Ep: 150, Reward: -22.8070, Avg: -44.0063
Ep: 151, Reward: -60.8541, Avg: -43.8007
Ep: 152, Reward: -72.2222, Avg: -44.2372
Ep: 153, Reward: -20.4152, Avg: -43.6860
Ep: 154, Reward: -41.3681, Avg: -43.4633
Ep: 155, Reward: -17.8571, Avg: -43.2125
Ep: 156, Reward: -43.1438, Avg: -43.1456
Ep: 157, Reward: -80.1980, Avg: -43.6166
Ep: 158, Reward: -16.3763, Avg: -43.1877
Ep: 159, Reward: -36.8421, Avg: -42.8592
Ep: 160, Reward: -65.1899, Avg: -43.0972
Ep: 161, Reward: -61.6858, Avg: -43.2478
Ep: 162, Reward: -45.2555, Avg: -43.1491
Ep: 163, Reward: -18.5185, Avg: -43.2327
Ep: 164, Reward: -39.0244, Avg: -43.1709
Ep: 165, Reward: 10.7266, Avg: -42.2887
Ep: 166, Reward: -17.2414, Avg: -41.9507
Ep: 167, Reward: -29.7659, Avg: -41.4840
Ep: 168, Reward: -24.7312, Avg: -41.1395
Ep: 169, Reward: -23.3449, Avg: -40.5980
Ep: 170, Reward: -66.5428, Avg: -40.6219
Ep: 171, Reward: -58.0420, Avg: -41.1949
Ep: 172, Reward: -43.3962, Avg: -40.7950
Ep: 173, Reward: -38.3117, Avg: -41.1245
Ep: 174, Reward: -48.5294, Avg: -40.9245
Ep: 175, Reward: -32.5153, Avg: -40.9804
Ep: 176, Reward: -65.1568, Avg: -41.0621
Ep: 177, Reward: -139.4201, Avg: -41.6690
Ep: 178, Reward: -78.5933, Avg: -42.1216
Ep: 179, Reward: -13.9073, Avg: -41.9227
Ep: 180, Reward: 21.2121, Avg: -41.3689
Ep: 181, Reward: -39.0681, Avg: -40.9929
Ep: 182, Reward: -13.0435, Avg: -40.4031
Ep: 183, Reward: -29.0323, Avg: -40.4367
Ep: 184, Reward: -8.4249, Avg: -39.8036
Ep: 185, Reward: -7.0632, Avg: -39.2989
Ep: 186, Reward: -35.2751, Avg: -39.1712
Ep: 187, Reward: -20.6897, Avg: -38.8172
Ep: 188, Reward: -41.3681, Avg: -38.6589
Ep: 189, Reward: -35.3741, Avg: -38.6439
Ep: 190, Reward: -28.0303, Avg: -38.7456
Ep: 191, Reward: -59.2593, Avg: -38.7896
Ep: 192, Reward: -15.7895, Avg: -38.6767
Ep: 193, Reward: -21.3483, Avg: -38.7141
Ep: 194, Reward: -44.8529, Avg: -38.8293
Ep: 195, Reward: -20.4545, Avg: -38.4243
Ep: 196, Reward: -31.8182, Avg: -38.9189
Ep: 197, Reward: -27.1523, Avg: -38.9404
Ep: 198, Reward: 5.2632, Avg: -38.3829
Ep: 199, Reward: -27.8351, Avg: -38.0752
Ep: 200, Reward: -23.3449, Avg: -37.7503
Ep: 201, Reward: -72.8916, Avg: -38.1549
Ep: 202, Reward: -33.5443, Avg: -38.1528
Ep: 203, Reward: 15.9420, Avg: -37.6981
Ep: 204, Reward: -20.8633, Avg: -37.8002
Ep: 205, Reward: -1.3453, Avg: -37.0439
Ep: 206, Reward: -24.1877, Avg: -37.0321
Ep: 207, Reward: -12.8920, Avg: -36.4584
Ep: 208, Reward: -36.7470, Avg: -36.4883
Ep: 209, Reward: -33.3333, Avg: -36.4820
Ep: 210, Reward: -19.0939, Avg: -36.7918
Ep: 211, Reward: -42.1769, Avg: -36.5197
Ep: 212, Reward: -39.7993, Avg: -36.7511
Ep: 213, Reward: -25.7951, Avg: -36.6318
Ep: 214, Reward: -21.4286, Avg: -36.0273
Ep: 215, Reward: -50.0000, Avg: -35.9592
Ep: 216, Reward: -51.6729, Avg: -36.1682
Ep: 217, Reward: -29.5775, Avg: -36.1169
Ep: 218, Reward: -18.8192, Avg: -36.3396
Ep: 219, Reward: -42.0849, Avg: -36.5525
Ep: 220, Reward: -71.9626, Avg: -37.1283
Ep: 221, Reward: -36.9628, Avg: -37.0336
Ep: 222, Reward: -23.3449, Avg: -36.7369
Ep: 223, Reward: -31.0345, Avg: -36.9232
Ep: 224, Reward: -23.0769, Avg: -36.8508
Ep: 225, Reward: -56.0811, Avg: -36.9358
Ep: 226, Reward: -54.5455, Avg: -36.8133
Ep: 227, Reward: -13.9073, Avg: -36.7739
Ep: 228, Reward: -74.3590, Avg: -37.1187
