Ep: 88, Reward: 62.6317, Test: 66.6549, Avg: -34.9846
Ep: 89, Reward: 30.4539, Test: 29.6567, Avg: -34.2664
Ep: 90, Reward: 44.7958, Test: 8.1861, Avg: -33.7999
Ep: 91, Reward: 12.9976, Test: -6.9619, Avg: -33.5082
Ep: 92, Reward: 24.2778, Test: -4.2378, Avg: -33.1934
Ep: 93, Reward: 37.8905, Test: 46.3743, Avg: -32.3470
Ep: 94, Reward: 14.0076, Test: 13.0481, Avg: -31.8691
Ep: 95, Reward: -15.1664, Test: 63.3978, Avg: -30.8767
Ep: 96, Reward: 3.1974, Test: -22.1688, Avg: -30.7870
Ep: 97, Reward: 49.8732, Test: 53.0038, Avg: -29.9320
Ep: 98, Reward: 55.8157, Test: 75.2111, Avg: -28.8699
Ep: 99, Reward: 31.1809, Test: 29.1835, Avg: -28.2894
Ep: 100, Reward: -14.2015, Test: 44.5446, Avg: -27.0940
Ep: 101, Reward: -1.5185, Test: 202.1748, Avg: -24.4385
Ep: 102, Reward: 128.8792, Test: 70.6823, Avg: -23.2986
Ep: 103, Reward: -18.2098, Test: -34.2529, Avg: -23.1258
Ep: 104, Reward: -43.5363, Test: -69.0420, Avg: -23.1535
Ep: 105, Reward: -42.4552, Test: -43.1286, Avg: -23.0913
Ep: 106, Reward: -16.3886, Test: -20.1662, Avg: -22.6228
Ep: 107, Reward: -14.9144, Test: 6.2639, Avg: -21.9420
Ep: 108, Reward: -25.7426, Test: -6.4497, Avg: -21.4428
Ep: 109, Reward: -8.4076, Test: -18.1650, Avg: -21.1241
Ep: 110, Reward: -32.9617, Test: -29.0979, Avg: -20.8241
Ep: 111, Reward: -35.1615, Test: -14.4443, Avg: -20.3395
Ep: 112, Reward: -14.6195, Test: 10.4075, Avg: -19.5536
Ep: 113, Reward: -34.7326, Test: -0.4960, Avg: -18.8103
Ep: 114, Reward: -21.4198, Test: -26.9713, Avg: -18.4749
Ep: 115, Reward: -8.8840, Test: 14.9019, Avg: -17.7219
Ep: 116, Reward: -24.7067, Test: -5.0706, Avg: -17.2259
Ep: 117, Reward: -43.1641, Test: -8.7086, Avg: -16.9513
Ep: 118, Reward: -12.5109, Test: -9.7280, Avg: -16.3255
Ep: 119, Reward: 9.0482, Test: 25.2790, Avg: -15.4190
Ep: 120, Reward: -32.0193, Test: -17.4332, Avg: -15.2581
Ep: 121, Reward: -8.2906, Test: -21.5145, Avg: -14.9359
Ep: 122, Reward: -26.2978, Test: 23.2317, Avg: -14.1551
Ep: 123, Reward: -30.2847, Test: -27.4701, Avg: -13.7204
Ep: 124, Reward: -29.1386, Test: 8.7451, Avg: -13.0073
Ep: 125, Reward: -8.1087, Test: -26.9278, Avg: -12.8051
Ep: 126, Reward: -20.0538, Test: -16.9872, Avg: -12.6396
Ep: 127, Reward: 10.3998, Test: 47.8612, Avg: -11.6586
Ep: 128, Reward: 100.4510, Test: 92.3891, Avg: -10.1540
Ep: 129, Reward: 62.2557, Test: 128.9429, Avg: -8.5088
Ep: 130, Reward: 168.6866, Test: 189.4975, Avg: -6.0522
Ep: 131, Reward: 223.0843, Test: 162.5518, Avg: -3.8546
Ep: 132, Reward: 216.2833, Test: 117.4951, Avg: -2.1327
Ep: 133, Reward: 184.0540, Test: 334.5844, Avg: 1.7932
Ep: 134, Reward: 188.7934, Test: 184.0388, Avg: 4.0476
Ep: 135, Reward: 243.6183, Test: 138.3983, Avg: 5.8831
Ep: 136, Reward: 203.7774, Test: 114.6287, Avg: 7.6044
Ep: 137, Reward: 138.9088, Test: 116.7899, Avg: 9.2581
Ep: 138, Reward: 155.7677, Test: 152.0803, Avg: 11.2694
Ep: 139, Reward: 86.0768, Test: -11.2209, Avg: 11.5046
Ep: 140, Reward: 92.3233, Test: 234.3042, Avg: 14.2934
Ep: 141, Reward: 142.4189, Test: 72.4256, Avg: 15.3727
Ep: 142, Reward: 79.4168, Test: 184.7148, Avg: 17.8517
Ep: 143, Reward: 176.1679, Test: 208.2783, Avg: 20.5365
Ep: 144, Reward: 184.8707, Test: 258.0294, Avg: 23.6914
Ep: 145, Reward: 150.9527, Test: -4.3612, Avg: 24.1680
Ep: 146, Reward: 167.0172, Test: 162.2489, Avg: 26.2302
Ep: 147, Reward: 120.3840, Test: 175.1274, Avg: 28.4105
Ep: 148, Reward: 98.7796, Test: 141.0554, Avg: 30.2186
Ep: 149, Reward: 117.0379, Test: 95.1426, Avg: 31.8036
Ep: 150, Reward: 64.0593, Test: 186.1160, Avg: 34.1687
Ep: 151, Reward: 104.3944, Test: 29.1056, Avg: 34.9490
Ep: 152, Reward: 50.3256, Test: 129.8134, Avg: 36.8565
Ep: 153, Reward: 54.3701, Test: -2.2471, Avg: 37.3464
Ep: 154, Reward: 19.3534, Test: -23.9144, Avg: 37.5644
Ep: 155, Reward: -14.4866, Test: -7.8691, Avg: 38.1322
Ep: 156, Reward: -7.7132, Test: 0.5762, Avg: 38.6863
Ep: 157, Reward: -32.2002, Test: -41.6053, Avg: 38.8692
Ep: 158, Reward: -28.5587, Test: -40.3190, Avg: 39.0994
Ep: 159, Reward: -30.5931, Test: -34.9139, Avg: 39.3040
Ep: 160, Reward: -7.8808, Test: -23.9159, Avg: 39.3987
Ep: 161, Reward: -13.3150, Test: -55.5779, Avg: 39.4630
Ep: 162, Reward: -32.0225, Test: -10.4897, Avg: 39.8954
Ep: 163, Reward: -9.7619, Test: -8.2218, Avg: 40.1199
Ep: 164, Reward: -21.9024, Test: 18.4538, Avg: 40.7566
Ep: 165, Reward: -2.8070, Test: -35.1636, Avg: 40.7517
