Agent: ddpg, Model: <class 'utils.envs.WorldModel'>, State: [288], Dir: iter1/
Ep: 0, Reward: -66.0980, Test: -79.4939, Avg: -79.4939
Ep: 1, Reward: -23.9273, Test: -75.1777, Avg: -77.3358
Ep: 2, Reward: -55.5673, Test: -64.4966, Avg: -73.0561
Ep: 3, Reward: -52.4933, Test: -78.3901, Avg: -74.3896
Ep: 4, Reward: -64.7788, Test: -76.0898, Avg: -74.7296
Ep: 5, Reward: -68.5056, Test: -70.6285, Avg: -74.0461
Ep: 6, Reward: -23.4568, Test: -50.9643, Avg: -70.7487
Ep: 7, Reward: -73.8321, Test: -60.5334, Avg: -69.4718
Ep: 8, Reward: -65.7193, Test: -50.1321, Avg: -67.3229
Ep: 9, Reward: -73.2534, Test: -6.4953, Avg: -61.2402
Ep: 10, Reward: -42.4427, Test: -28.3787, Avg: -58.2528
Ep: 11, Reward: -33.8400, Test: -30.1125, Avg: -55.9077
Ep: 12, Reward: -69.3103, Test: -76.7694, Avg: -57.5125
Ep: 13, Reward: -72.4217, Test: -51.0244, Avg: -57.0490
Ep: 14, Reward: -25.5436, Test: -64.6806, Avg: -57.5578
Ep: 15, Reward: -59.3654, Test: -60.1662, Avg: -57.7208
Ep: 16, Reward: -68.4526, Test: -98.5514, Avg: -60.1226
Ep: 17, Reward: -42.8772, Test: -80.9013, Avg: -61.2770
Ep: 18, Reward: -76.6253, Test: -67.0956, Avg: -61.5832
Ep: 19, Reward: -49.4481, Test: -57.3924, Avg: -61.3737
Ep: 20, Reward: -68.2455, Test: -61.6490, Avg: -61.3868
Ep: 21, Reward: -82.0258, Test: -70.3045, Avg: -61.7922
Ep: 22, Reward: -49.7139, Test: 187.8234, Avg: -50.9393
Ep: 23, Reward: -57.9435, Test: 190.0326, Avg: -40.8988
Ep: 24, Reward: -57.4881, Test: 174.2314, Avg: -32.2936
Ep: 25, Reward: -45.1466, Test: 14.2215, Avg: -30.5046
Ep: 26, Reward: -27.9006, Test: -13.0842, Avg: -29.8594
Ep: 27, Reward: -23.1821, Test: 51.9487, Avg: -26.9377
Ep: 28, Reward: -47.3479, Test: -33.4386, Avg: -27.1618
Ep: 29, Reward: -82.2508, Test: -34.3978, Avg: -27.4030
Ep: 30, Reward: -54.7737, Test: -28.1167, Avg: -27.4260
